tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
FG-AW-01	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	326	40.9676	250.4442	750	800	Ma	0.0	270.8	-9.3	16.5	57.0	5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-AW-02	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	326	40.9676	250.4442	750	800	Ma	0.0	264.4	-10.5	9.4	51.4	6.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-AW-03	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	326	40.9676	250.4442	750	800	Ma	0.0	274.0	-7.6	11.8	110.2	4.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-AW-04	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	326	40.9676	250.4442	750	800	Ma	0.0	255.6	4.6	11.4	35.4	6.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-01	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	15.0	322	40.9676	250.4442	750	800	Ma	0.0	264.9	-5.3	6.6	135.2	5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-02	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	20.0	310	40.9676	250.4442	750	800	Ma	0.0	268.4	-1.0	20.1	15.5	6.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-03	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	17.0	319	40.9676	250.4442	750	800	Ma	0.0	266.5	-3.4	13.3	34.0	5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-04	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	17.0	295	40.9676	250.4442	750	800	Ma	0.0	262.2	7.8	10.4	54.7	5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-05	Flaming Gorge	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	16.0	326	40.9676	250.4442	750	800	Ma	0.0						ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-06	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	328	40.9676	250.4442	750	800	Ma	0.0	275.1	0.9	9.1	72.0	5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-07	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	327	40.9676	250.4442	750	800	Ma	0.0	271.1	-3.1	8.3	65.7	6.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG-GA-08	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	327	40.9676	250.4442	750	800	Ma	0.0	259.1	-3.0	6.7	101.8	6.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG 48	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	340	40.9676	250.4442	750	800	Ma	0.0	275.2	-8.2	4.4		4.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG 49	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	3	40.9676	250.4442	750	800	Ma	0.0	267.7	-5.7	8.1		6.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG 50	Flaming Gorge	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	20.0	344	40.9676	250.4442	750	800	Ma	0.0	295.3	-10.3	8.9		7.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG 51	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	16.0	358	40.9676	250.4442	750	800	Ma	0.0	275.1	-3.1	3.2		5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG 52	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	18.0	358	40.9676	250.4442	750	800	Ma	0.0	279.2	-12.1	8.3		5.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
FG 53	Flaming Gorge	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	15.0	26	40.9676	250.4442	750	800	Ma	0.0	275.5	2.5	7.5		4.0	ChRM	-5.4	158.9	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 01	Bull Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	13.0	119	40.8269	251.1433	750	800	Ma	0.0	270.6	5.9	6.0	101.1	8.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 02	Bull Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	16.0	145	40.8269	251.1433	750	800	Ma	0.0	280.2	6.2	16.6	13.9	8.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 03	Bull Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	19.0	106	40.8269	251.1433	750	800	Ma	0.0	267.3	-5.9	14.4	23.4	6.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 04	Bull Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	20.0	141	40.8269	251.1433	750	800	Ma	0.0	276.4	-2.2	20.5	8.0	9.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 05	Bull Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	20.0	141	40.8269	251.1433	750	800	Ma	0.0	274.2	10.0	14.2	22.5	7.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 06	Bull Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	20.0	141	40.8269	251.1433	750	800	Ma	0.0	269.0	5.1	5.8	71.9	10.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 07	Bull Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	12.0	139	40.8269	251.1433	750	800	Ma	0.0	279.4	2.5	8.4	44.4	9.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 08	Bull Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	17.0	179	40.8269	251.1433	750	800	Ma	0.0	282.9	2.3	9.2	37.7	9.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 09	Bull Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	12.0	109	40.8269	251.1433	750	800	Ma	0.0	2.1	56.7	4.4	121.3	10.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
BC 10	Bull Canyon	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM:DE-BFP-G:DE-FM-LP	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	2.0	189	40.8269	251.1433	750	800	Ma	0.0	267.1	8.2	17.9	14.5	7.0	ChRM	4.5	163.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
UMG-GA-01	Home Mountain Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	82.0	202	41.0176	250.7983	750	800	Ma	0.0	289.5	21.2	15.9	24.1	7.0	ChRM	0.5	164.8	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
UMG-GA-02	Home Mountain Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	52.0	206	41.0176	250.7983	750	800	Ma	0.0	284.3	34.7	14.1	19.2	7.0	ChRM	0.5	164.8	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
UMG-GA-03	Home Mountain Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	66.0	203	41.0176	250.7983	750	800	Ma	0.0	287.9	31.7	18.4	18.2	5.0	ChRM	0.5	164.8	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 01	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	58.0	36	40.9797	251.1055	750	800	Ma	0.0	105.2	22.1	6.5	63.5	9.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 02	Sparks-Talamantes Creek	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	62.0	25	40.9797	251.1055	750	800	Ma	0.0	67.8	59.2	14.3	29.7	5.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 03	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	70.0	43	40.9797	251.1055	750	800	Ma	0.0	92.1	30.5	11.9	42.3	5.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 04	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	61.0	29	40.9797	251.1055	750	800	Ma	0.0	95.9	35.6	9.2	43.9	7.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 05	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	63.0	45	40.9797	251.1055	750	800	Ma	0.0	88.8	34.6	11.6	23.7	8.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 06	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	66.0	54	40.9797	251.1055	750	800	Ma	0.0	99.9	26.0	8.6	50.7	7.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 07	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	61.0	29	40.9797	251.1055	750	800	Ma	0.0	104.2	31.6	14.0	43.9	4.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 08	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	65.0	42	40.9797	251.1055	750	800	Ma	0.0	95.7	20.0	9.2	43.8	7.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 09	Sparks-Talamantes Creek	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	71.0	44	40.9797	251.1055	750	800	Ma	0.0	94.9	28.4	28.42	20.2	3.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 10	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	56.0	43	40.9797	251.1055	750	800	Ma	0.0	103.1	36.3	10.2	44.5	6.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 11	Sparks-Talamantes Creek	i	b	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	59.0	31	40.9797	251.1055	750	800	Ma	0.0	101.7	21.3	15.1	20.7	6.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SP 12	Sparks-Talamantes Creek	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	59.0	43	40.9797	251.1055	750	800	Ma	0.0	95.6	35.9	7.0	63.8	8.0	ChRM	1.7	166.3	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 1	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	80.0	51	40.9518	250.2012	750	800	Ma	0.0	33.4	69.6	3.0	259.7	10.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 2	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	81.0	55	40.9518	250.2012	750	800	Ma	0.0	9.7	65.5	4.2	262.2	6.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 3	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	82.0	52	40.9518	250.2012	750	800	Ma	0.0	24.6	69.0	3.6	161.4	11.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 4	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	81.0	53	40.9518	250.2012	750	800	Ma	0.0	37.6	68.9	2.8	262.0	11.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 5	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	80.0	54	40.9518	250.2012	750	800	Ma	0.0	37.5	68.3	3.5	255.4	8.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 6	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	78.0	55	40.9518	250.2012	750	800	Ma	0.0	26.6	69.9	5.4	296.3	4.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 7	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	81.0	55	40.9518	250.2012	750	800	Ma	0.0	25.1	65.8	3.6	146.0	12.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 8	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	85.0	51	40.9518	250.2012	750	800	Ma	0.0	45.5	65.0	6.2	61.4	10.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 9	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	43.0	23	40.9518	250.2012	750	800	Ma	0.0	38.7	60.7	5.4	45.2	17.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 14	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	39.0	31	40.9518	250.2012	750	800	Ma	0.0	61.8	56.3	6.7	53.3	10.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 19	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	40.0	33	40.9518	250.2012	750	800	Ma	0.0	73.5	36.3	8.0	42.7	9.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 21	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	43.0	29	40.9518	250.2012	750	800	Ma	0.0	68.0	40.0	7.1	47.1	10.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 46	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	102.0	82	40.9518	250.2012	750	800	Ma	0.0	4.1	70.2	2.5	718.8	6.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 47	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	102.0	84	40.9518	250.2012	750	800	Ma	0.0	18.2	71.4	4.5	221.5	6.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 70	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	44.0	32	40.9518	250.2012	750	800	Ma	0.0	45.4	58.4	7.0	55.6	9.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
SC 74	Sheep Creek Canyon	i	g	LP-DM-NRM:LP-DIR-CHEM:LP-IRM-DCD:LP-DIR-T:ST-F:DE-BFL:DE-FM	10.1016/j.precamres.2006.01.017	Sedimentary	Sediment Layer	Sandstone:Mudstone	39.0	24	40.9518	250.2012	750	800	Ma	0.0	39.7	66.4	9.5	65.8	5.0	overprint	6.5	158.4	Red beds of the Neoproterozoic Uinta Mountain Group in the Central Rocky Mountains of Utah.
