site,Reference,unit,candidate_merge,locality,region,Area,lat,lon,dir_dec,dir_inc,dir_alpha95,dir_k,dir_n_samples,Pol,vgp_lat,vgp_lon,result_quality,Notes,accepted,exclusion
M15,Middleton et al. 2004,Terry Fox,,Terry Fox,Thunder Bay-Logan,Thunder Bay,48.498,270.827,202.0,71.1,25.5,1.9,24,N,15.7128906269428,258.12591492754,b,"T, Terry Fox",False,normal-polarity counterpart of a reverse determination of the same Middleton et al. (2004) locality; interpreted as an incompletely removed overprint
M3,Middleton et al. 2004,Middleton SW,,Middleton SW,Thunder Bay-Logan,Thunder Bay,48.093,270.397,119.1,-61.4,21.0,3.5,6,R,47.9378889917591,196.39903929778,b,"L, SW",True,
TI,Piispa et al. manuscript in preparation,Thunder Intrusion,,TI,Thunder Bay-Logan,Thunder Bay,48.5313,270.7015,116.4,-63.5,10.0,32.0,7,R,47.6042844876107,200.978808424802,g,"Thunder Intrusion, dated at 1108.0 ± 1.0 by Trevisan et al. 2015",True,
M12,Middleton et al. 2004,Fox Mountain,,Fox Mountain,Thunder Bay-Logan,Thunder Bay?,48.307,270.66200000000003,105.3,-76.0,21.7,7.5,16,R,48.2939211526063,230.348514430186,b,"L & T, Fox Mountain",True,
S3,"Robertson and Fahrig, 1971",Terry Fox,,S3,Thunder Bay-Logan,Logan,48.492947,270.838287,97.0,-68.0,8.0,71.0,6,R,39.2894230549353,217.12950916709,g,,True,
S7,"Robertson and Fahrig, 1971",Mt Mackay,,S7,Thunder Bay-Logan,Logan,48.344869,270.71286,131.0,-55.0,10.0,92.0,4,R,52.0971307977572,179.53076313019,g,,True,
S10,"Robertson and Fahrig, 1971",S10,,S10,Thunder Bay-Logan,Logan,48.312885,270.33714299999997,105.0,-62.0,11.0,558.0,2,R,39.5672857803295,204.438859835032,b,,True,
S12,"Robertson and Fahrig, 1971",S12,,S12,Thunder Bay-Logan,Logan,48.353511,270.215392,134.0,-66.0,66.0,17.0,2,R,59.8897049220152,197.742957534098,b,,True,
S4,"Robertson and Fahrig, 1971",S4,,S4,Thunder Bay-Logan,Logan,48.344869,270.71286,111.0,-48.0,63.0,2.4,5,R,34.8174427629894,186.907196955988,b,Excluded!,False,"flagged ""Excluded!"" in the source compilation"
R45,"Pesonen, 1979",Terry Fox,,R45,Thunder Bay-Logan,Logan,48.560704,271.17514,123.5,-69.3,2.7,2001.0,3,R,54.9164952088121,210.161442681236,g,Same as Terry Fox based on Ontario geol map,True,
R41,"Pesonen, 1979",R41,,R41,Thunder Bay-Logan,Sibley,48.559341,271.258251,100.7,-64.7,13.0,50.0,4,R,38.9881079923035,210.976285754683,g,Sleeping giant?,True,
N32-34,"DuBois, 1962",N32-34,,N32-34,Thunder Bay-Logan,Sibley tip,48.326,271.087,122.63898534886042,-70.09668996682873,31.768471628504365,9.332532127043734,4,R,54.6193849588601,212.561156420233,b,Eastern scarp of Sleeping giant,True,
N31m,"DuBois, 1962",N31m,,N31m,Thunder Bay-Logan,Sibley tip,48.327039,271.079723,125.52197001185758,-66.12824993574259,48.07220999788493,29.131143934881532,2,R,54.6229476051878,202.377121590713,b,"Sleeping giant sill, cuts through Animikie and Sibley sediments",True,
R40,"Pesonen, 1979",Channel Island sill,,R40,Nipigon Embayment,Osler,48.811838,272.508646,122.0,-77.3,5.7,179.0,5,R,56.0451038913039,233.907723305753,g,On an island south of Rossport,True,
