site,location,result_type,result_quality,method_codes,citations,geologicl_classes,geologic_types,lithologies,lat,lonW,lon,age,age_low,age_high,age_unit,dir_tilt_correction,dir_dec,dir_inc,dir_alpha95,dir_k,dir_n_samples,Pol,vgp_lat,vgp_lon,vdp_dp,vgp_dm,Area,Notes,Notes2,Description,Reference,Sill/dyke name for dublicates
R48,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,49.082074,-88.88234,271.11766,1107.5,1106.9,1108.2,Ma,0.0,71.7,-67.6,10.4,55.0,5,R,26.8888547607576,228.49925169349,14.4882725232998,17.3596102630397,Nipigon,"North of Sibley peninsula, more north than R44",5-10 mT steps until 100 mT: thermal demag used to shows stability,"Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:North of Sibley peninsula, more north than R44","Pesonen, 1979",
R49,Ontario MCR sills and intrusives,i,g,DE-BFL: DE-AF: LP-T,"Pesonen, L. J. (1979). Paleomagnetism of late Precambrian Keweenawan igneous and baked contact rocks from Thunder Bay district, northern Lake Superior. Bulletin of the Geological Society of Finland, 51(1-2), 27-44.",Igenous,Sill,Diabase,48.992383,-88.019714,271.980286,1107.5,1106.9,1108.2,Ma,0.0,50.1,-77.3,11.1,123.0,3,R,30.9989252327759,250.402428306843,19.3886960603462,20.7467841493491,Nipigon,"North shore of Nipigon Bay,, same sill as R&F S14&15?",5-10 mT steps until 100 mT: thermal demag used to shows stability,"Nipigon: 5-10 mT steps until 100 mT: thermal demag used to shows stability:North shore of Nipigon Bay,, same sill as R&F S14&15?","Pesonen, 1979",
M5,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-LT,10.1029/2003JB002581,Igenous,Intrusion,Intrusives,48.941,-88.445,271.555,1107.5,1106.9,1108.2,Ma,0.0,202.5,-82.2,11.8,20.1,9,R,62.5706184053108,284.234966445811,22.3642382983451,22.9738116959495,Nipigon,"L, Hele 1",Liquid nitrogen cycling (5 treatments),"Nipigon: Liquid nitrogen cycling (5 treatments):L, Hele 1",Middleton et al. 2004,Steward Lake
M13,Ontario MCR sills and intrusives,i,g,DE-BFL: LP-LT: LP-T,10.1029/2003JB002581,Igenous,Intrusion,Intrusives,48.941,-88.445,271.555,1107.5,1106.9,1108.2,Ma,0.0,302.1,44.1,6.0,87.5,16,N,40.0086550470341,175.997056946271,4.71121038340823,7.51894438075577,Nipigon,"L & T, Hele 2",LTD followed by min 8 thermal steps until 560,"Nipigon: LTD followed by min 8 thermal steps until 560:L & T, Hele 2",Middleton et al. 2004,
M1,Ontario MCR sills and intrusives,i,b,DE-BFL: DE-FM: LP-LT,10.1029/2003JB002581,Igenous,Intrusion,Intrusives,49.136,-89.003,270.997,1107.5,1106.9,1108.2,Ma,0.0,84.3,-75.6,6.2,50.3,12,R,40.0207154304473,234.587872304358,10.459368903517,11.3884228233592,Nipigon,"L, Disreali",Liquid nitrogen cycling (5 treatments),"Nipigon: Liquid nitrogen cycling (5 treatments):L, Disreali",Middleton et al. 2004,
M10,Ontario MCR sills and intrusives,i,b,DE-BFL: DE-FM: LP-LT,10.1029/2003JB002581,Igenous,Sill,Diabase,49.506,-89.319,270.681,1107.5,1106.9,1108.2,Ma,0.0,129.5,-54.7,10.1,36.6,7,R,50.9026240320385,178.81396587062,10.0911283735191,14.2772824145593,Nipigon,"L, Geikie",Liquid nitrogen cycling (5 treatments),"Nipigon: Liquid nitrogen cycling (5 treatments):L, Geikie",Middleton et al. 2004,
M11,Ontario MCR sills and intrusives,i,g,DE-BFL: LP-LT: LP-T,10.1029/2003JB002581,Igenous,Sill,Diabase,,,,1107.5,1106.9,1108.2,Ma,0.0,110.9,-77.2,12.6,10.2,15,R,,,,,Nipigon,"L & T, Rift, location not reported in the text or map",LTD followed by min 8 thermal steps until 560,"Nipigon: LTD followed by min 8 thermal steps until 560:L & T, Rift, location not reported in the text or map",Middleton et al. 2004,
M4,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-T,10.1029/2003JB002581,Igenous,Intrusion,Intrusives,48.941,-88.445,271.555,1107.5,1106.9,1108.2,Ma,0.0,292.4,-84.9,28.6,3.8,10,R,44.2922871120225,284.673520090926,55.8753852597284,56.533813217016,Nipigon,"T, Hele 1",Min 8 thermal steps until 561,"Nipigon: Min 8 thermal steps until 561:T, Hele 1",Middleton et al. 2004,
M6,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-T,10.1029/2003JB002581,Igenous,Intrusion,Intrusives,48.941,-88.445,271.555,1107.5,1106.9,1108.2,Ma,0.0,326.4,53.6,23.4,3.5,10,N,61.1650399970504,163.294335330958,22.7577985372466,32.6353331765303,Nipigon,"T, Hele 2",Min 8 thermal steps until 562,"Nipigon: Min 8 thermal steps until 562:T, Hele 2",Middleton et al. 2004,
M7,Ontario MCR sills and intrusives,i,b,DE-BFL: LP-T,10.1029/2003JB002581,Igenous,Sill,Diabase,49.926,-89.079,270.921,1107.5,1106.9,1108.2,Ma,0.0,135.1,-61.4,35.4,6.6,9,R,58.5702928606683,184.839742854145,41.9571049332078,54.5028717525152,Nipigon,"T, Havoc",Min 8 thermal steps until 563,"Nipigon: Min 8 thermal steps until 563:T, Havoc",Middleton et al. 2004,
