tab	sites
site	study	member	member_age	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_unit	dir_comp_name	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	description
AW-13-4	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.26907	248.103964	Ma	ChRM	0	272.0	3.0	9.0	39	8			Carbon Butte member; Weil et al. (2004)
AW-12-10	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.247153	248.133426	Ma	ChRM	0	88.0	-25.0	12.0	65	6			Carbon Butte member; Weil et al. (2004)
AW-12-11	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.2495	248.133917	Ma	ChRM	0	103.0	-13.0	16.0	258	6			Carbon Butte member; Weil et al. (2004)
AW-12-13	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.242285	248.12589	Ma	ChRM	0	85.0	-28.0	21.0	20	7			Carbon Butte member; Weil et al. (2004)
AW-12-14A	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.242383	248.121909	Ma	ChRM	0	92.0	-20.0	12.0	60	6			Carbon Butte member; Weil et al. (2004)
AW-12-14B	Weil et al. (2004)	Carbon Butte	750.5	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.242021	248.118195	Ma	ChRM	0	97.0	-19.0	12.0	39	8			Carbon Butte member; Weil et al. (2004)
AW-12-8	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.255328	248.141498	Ma	ChRM	0	260.0	60.0	13.0	27	6			Carbon Canyon member; Weil et al. (2004)
AW-12-9	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.253493	248.142241	Ma	ChRM	0	256.0	48.0	9.0	90	7			Carbon Canyon member; Weil et al. (2004)
AW-12-15	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.236527	248.119935	Ma	ChRM	0	277.0	31.0	15.0	24	7			Carbon Canyon member; Weil et al. (2004)
AW-12-19	Weil et al. (2004)	Carbon Canyon	761.1	Chuar Group, Grand Canyon	i	g	LP-DIR-T:LP-DIR-AF:DE-BFL:DE-FM:DE-VGP:DA-DIR-TILT	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone:Sandstone:Dolomite	36.163766	248.147031	Ma	ChRM	0	299.0	-8.0	16.0	16	7			Carbon Canyon member; Weil et al. (2004)
