tab	sites
age	age_high	age_low	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_polarity	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_lat	vgp_lon
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(21.4 to 30.0)	3.4	100.7	-70.8	242.21453287197235	7.0	r	100	Extrusive:Igneous	Lava Flow	48.752	Basalt	Osler reverse middle	272.4028	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(21.4 to 30.0)	43.4	221.9
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(39.7 to 44.7)	5.1	143.2	-73.9	125.5927207484301	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7516	Basalt	Osler reverse middle	272.4033	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(39.7 to 44.7)	66.2	224.4
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(72.3 to 74.6)	3.3	132.4	-72.7	299.9693908784818	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7508	Basalt	Osler reverse middle	272.4043	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(72.3 to 74.6)	60.9	219.0
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(74.6 to 80.0)	1.8	131.4	-65.0	1008.230452674897	6.0	r	100	Extrusive:Igneous	Lava Flow	48.7507	Basalt	Osler reverse middle	272.4047	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(74.6 to 80.0)	57.9	198.0
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI4(80.2 to 100.7)	4.7	119.8	-64.8	110.90991398822995	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7505	Basalt	Osler reverse middle	272.4049	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI4(80.2 to 100.7)	50.5	203.1
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(0.0 to 9.2)	3.2	54.5	-67.3	273.43749999999994	7.0	r	100	Extrusive:Igneous	Lava Flow	48.7721	Basalt	Osler reverse middle	272.3778	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(0.0 to 9.2)	19.4	238.8
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(12.0 to 21.2)	4.1	64.4	-65.3	145.7465794170137	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7718	Basalt	Osler reverse middle	272.3779	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(12.0 to 21.2)	21.1	231.5
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(139.8 to 160.0)	5.4	96.0	-51.8	84.01920438957475	8.0	r	100	Extrusive:Igneous	Lava Flow	48.768	Basalt	Osler reverse middle	272.3808	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(139.8 to 160.0)	27.5	201.2
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(160.0 to 166.5)	4.7	98.5	-53.2	110.90991398822995	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7676	Basalt	Osler reverse middle	272.3811	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(160.0 to 166.5)	29.9	200.8
1107.0	1110.0	1105.48	Ma	10.1002/2013gc005180	SI9(166.5 to 171.4)	9.3	109.6	-53.0	28.326974216672443	8.0	r	100	Extrusive:Igneous	Lava Flow	48.7674	Basalt	Osler reverse middle	272.3815	DE-FM:LP-DC4:LP-DIR-AF	g	i	SI9(166.5 to 171.4)	36.9	193.5
