tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study															LP-NOMAG		CB1-3		CB1-3a
This study	mt	0.0	253.8	47.7	1.7	3	14	0.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	ht	4.9	268.7	52.6	9.9	3	8	100.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	mt	0.0	276.9	56.7	1.7	3	14	100.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	lt	25.8	346.9	57.1	4.1	3	4	100.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	ht	4.9	250.3	41.9	9.9	3	8	0.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	lt	25.8	315.6	70.2	4.1	3	4	0.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	mt	0.0	173.2	29.8	1.7	3	14	-1.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	ht	4.9	175.1	35.8	9.9	3	8	-1.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	943.0	883.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study															LP-NOMAG		CB1-4		CB1-4a
This study	lt	25.8	161.3	-4.9	4.1	3	4	-1.0	CB1-4a_LP-DIR-T	hargrave 2021-11-30 10:44:35	u	573.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB1-4	pmagpy-4.2.24-1: demag_gui	CB1-4a
This study	mt	0.0	273.6	47.4	1.1	1	14	100.0	CB1-5a_LP-DIR-T	hargrave 2021-11-24 10:23:03	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-5	pmagpy-4.2.24-1: demag_gui	CB1-5a
This study															LP-NOMAG		CB1-5		CB1-5a
This study	mt	0.0	109.6	34.6	1.1	1	14	-1.0	CB1-5a_LP-DIR-T	hargrave 2021-11-24 10:23:03	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-5	pmagpy-4.2.24-1: demag_gui	CB1-5a
This study	mt	0.0	257.0	38.5	1.1	1	14	0.0	CB1-5a_LP-DIR-T	hargrave 2021-11-24 10:23:03	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB1-5	pmagpy-4.2.24-1: demag_gui	CB1-5a
This study	mt	0.0	250.4	44.7	0.8	1	14	0.0	CB1-6a_LP-DIR-T	hargrave 2021-11-24 10:24:38	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB1-6	pmagpy-4.2.24-1: demag_gui	CB1-6a
This study	mt	0.0	270.8	55.2	0.8	1	14	100.0	CB1-6a_LP-DIR-T	hargrave 2021-11-24 10:24:38	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-6	pmagpy-4.2.24-1: demag_gui	CB1-6a
This study															LP-NOMAG		CB1-6		CB1-6a
This study	mt	0.0	169.4	40.2	0.8	1	14	-1.0	CB1-6a_LP-DIR-T	hargrave 2021-11-24 10:24:38	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-6	pmagpy-4.2.24-1: demag_gui	CB1-6a
This study	mt	0.0	184.7	65.7	0.9	1	14	-1.0	CB1-7a_LP-DIR-T	hargrave 2021-10-28 16:05:47	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-7	pmagpy-4.2.24-1: demag_gui	CB1-7a
This study	mt	0.0	263.3	45.8	0.9	1	14	100.0	CB1-7a_LP-DIR-T	hargrave 2021-10-28 16:05:47	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-7	pmagpy-4.2.24-1: demag_gui	CB1-7a
This study	mt	0.0	249.6	34.3	0.9	1	14	0.0	CB1-7a_LP-DIR-T	hargrave 2021-10-28 16:05:47	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB1-7	pmagpy-4.2.24-1: demag_gui	CB1-7a
This study															LP-NOMAG		CB1-7		CB1-7a
This study	mt	0.0	228.6	26.1	1.5	2	14	-1.0	CB1-8a_LP-DIR-T	hargrave 2021-10-28 16:07:15	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	CB1-8	pmagpy-4.2.24-1: demag_gui	CB1-8a
This study	mt	0.0	269.7	43.9	1.5	2	14	100.0	CB1-8a_LP-DIR-T	hargrave 2021-10-28 16:07:15	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	CB1-8	pmagpy-4.2.24-1: demag_gui	CB1-8a
This study	mt	0.0	255.5	34.2	1.5	2	14	0.0	CB1-8a_LP-DIR-T	hargrave 2021-10-28 16:07:15	u	855.0	773.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	CB1-8	pmagpy-4.2.24-1: demag_gui	CB1-8a
This study	lt	65.5	358.5	23.0	8.2	2	3	100.0	CB1-8a_LP-DIR-T	hargrave 2021-10-28 16:07:15	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	CB1-8	pmagpy-4.2.24-1: demag_gui	CB1-8a
This study															LP-NOMAG		CB1-8		CB1-8a
This study	lt	65.5	325.0	51.9	8.2	2	3	-1.0	CB1-8a_LP-DIR-T	hargrave 2021-10-28 16:07:15	u	473.0	273.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	CB1-8	pmagpy-4.2.24-1: demag_gui	CB1-8a
