tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_comp_name	dir_dec	dir_inc	dir_polarity	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
Thunder Intrusion	Thunder Bay-Logan	i	g	DE-BFL:LP-DIR-AF:LP-DIR-T	Piispa et al., in preparation	Igneous	Intrusion	Gabbro	48.5313	270.7015	1108	1106	1110	Ma	0	ChRM	116.4	-63.5	r	32.0	10.0	7	47.6	201.0	12.5	15.8	Thunder Bay; TI (Piispa et al. manuscript in preparation)
S11	Nipigon Embayment	i	b	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	48.9620	271.7260	1108	1106	1110	Ma	0	ChRM						1					EXCLUDED FROM POLE: flagged "Excluded!" in the source compilation (S11; Robertson and Fahrig, 1971)
M13	Nipigon Embayment	i	b	LP-DIR-T:LP-DIR-LT:DE-BFL	10.1029/2003JB002581	Igneous	Intrusion	Intrusives	48.9410	271.5550	1108	1106	1110	Ma	0	ChRM	302.1	44.1	n	87.5	6.0	16	40.0	176.0	4.7	7.5	EXCLUDED FROM POLE: normal-polarity counterpart of a reverse determination of the same Middleton et al. (2004) locality; interpreted as an incompletely removed overprint (M13; Middleton et al. 2004)
M6	Nipigon Embayment	i	b	LP-DIR-T:LP-DIR-LT:DE-BFL	10.1029/2003JB002581	Igneous	Intrusion	Intrusives	48.9410	271.5550	1108	1106	1110	Ma	0	ChRM	326.4	53.6	n	3.5	23.4	10	61.2	163.3	22.8	32.6	EXCLUDED FROM POLE: normal-polarity counterpart of a reverse determination of the same Middleton et al. (2004) locality; interpreted as an incompletely removed overprint (M6; Middleton et al. 2004)
PL_ST	Nipigon Embayment	i	b	LP-DIR-AF:LP-DIR-T:LP-DIR-LT:DE-BFL	10.1016/j.precamres.2005.10.007	Igneous	Lava	Basaltic Lava	50.2110	270.8970	1108	1106	1110	Ma	0	ChRM	108.3	-70.1	r	4.2	11.0	39	47.8	215.0	16.3	19.0	EXCLUDED FROM POLE: Pillar Lake Lava; age relative to the sills unconstrained (PL_ST; Borradaile & Middleton 2006)
PL_SAF	Nipigon Embayment	i	b	LP-DIR-AF:LP-DIR-T:LP-DIR-LT:DE-BFL	10.1016/j.precamres.2005.10.007	Igneous	Lava	Basaltic Lava	50.2110	270.8970	1108	1106	1110	Ma	0	ChRM	114.3	-65.2	r	6.8	12.0	20	48.0	203.3	15.7	19.4	EXCLUDED FROM POLE: Pillar Lake Lava; age relative to the sills unconstrained (PL_SAF; Borradaile & Middleton 2006)
PL_BHT	Nipigon Embayment	i	b	LP-DIR-AF:LP-DIR-T:LP-DIR-LT:DE-BFL	10.1016/j.precamres.2005.10.007	Igneous	Lava	Basaltic Lava	50.2040	270.8470	1108	1106	1110	Ma	0	ChRM	112.7	-66.1	r	39.5	4.0	31	47.6	205.6	5.4	6.5	EXCLUDED FROM POLE: Pillar Lake Lava; age relative to the sills unconstrained (PL_BHT; Borradaile & Middleton 2006)
PL_BHAF	Nipigon Embayment	i	b	LP-DIR-AF:LP-DIR-T:LP-DIR-LT:DE-BFL	10.1016/j.precamres.2005.10.007	Igneous	Lava	Basaltic Lava	50.2040	270.8470	1108	1106	1110	Ma	0	ChRM	133.2	-69.5	r	6.8	17.0	10	61.4	205.2	24.9	29.1	EXCLUDED FROM POLE: Pillar Lake Lava; age relative to the sills unconstrained (PL_BHAF; Borradaile & Middleton 2006)
M15	Thunder Bay-Logan	i	b	LP-DIR-T:LP-DIR-LT:DE-BFL	10.1029/2003JB002581	Igneous	Sill	Diabase	48.4980	270.8270	1108	1106	1110	Ma	0	ChRM	202.0	71.1	n	1.9	25.5	24	15.7	258.1	38.8	44.5	EXCLUDED FROM POLE: normal-polarity counterpart of a reverse determination of the same Middleton et al. (2004) locality; interpreted as an incompletely removed overprint (M15; Middleton et al. 2004)
S4	Thunder Bay-Logan	i	b	DE-BLANKET:LP-DIR-AF-BLANKET:LP-DIR-T	10.1139/e71-125	Igneous	Sill	Diabase	48.3449	270.7129	1108	1106	1110	Ma	0	ChRM	111.0	-48.0	r	2.4	63.0	5	34.8	186.9	53.8	82.3	EXCLUDED FROM POLE: flagged "Excluded!" in the source compilation (S4; Robertson and Fahrig, 1971)
