tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names
20644	1	2026-05-13T16:42:30.806Z	@contributor	3.0	10.1139/E77-158	Geomagnetism Laboratory (University of Liverpool, UK):Western Paleomagnetic & Petrophysical Laboratory (WPPL) (Western University, Canada)
>>>>>>>>>>
tab delimited	locations
location	location_type	result_name	result_type	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_low	age_high	age_unit	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	description
Sudbury Dikes	Region	Sudbury Dike Swarm ca. 1238 Ma pole	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5	1238	4			Ma	-2.9	193.1	3.3	51	38	"Primary Sudbury Dike Swarm pole, sites away from the Grenville Front (1200-1400 Ma)."
Sudbury Dikes	Region	Sudbury Dikes Grenville-Front overprint ca. 1000 Ma	a	LP-DIR-AF:LP-DIR-T:DE-FM:DE-VGP:GM-KAR	10.1139/e77-158	Igneous	Diabase	46	47.5	276.5	280.5			900	1100	Ma	-3.7	343.4	6.3	24	23	"Grenville Front remagnetization overprint, ~1000 Ma; sites within few km of Grenville Front region."
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_comp_name	vgp_lat	vgp_lon	description
46	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.11	277.11			900	1100	Ma	0	116	69	3	714	4	Grenville Front direction	23	315	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977
47	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.47	276.97	1238	4	1200	1400	Ma	0	256	30	10	80	4	Sudbury Dike direction	2	210	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
48r	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.48	277	1238	4	1200	1400	Ma	0	281	33	26	14	4	Sudbury Dike direction	20	194	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
49	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.48	277	1238	4	1200	1400	Ma	0	271	12	27	12	4	Sudbury Dike direction	5	192	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
50	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.4	277.3	1238	4	1200	1400	Ma	0	270	-5	5	371	4	Sudbury Dike direction	-2	187	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
51	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.37	277.35	1238	4	1200	1400	Ma	0	264	-1	4	881	3	Sudbury Dike direction	-5	193	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
52	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.37	277.38	1238	4	1200	1400	Ma	0	263	7	6	255	4	Sudbury Dike direction	-2	196	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
53	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.35	277.43	1238	4	1200	1400	Ma	0	272	-14	11	76	4	Sudbury Dike direction	-4	182	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
54	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.33	277.5	1238	4	1200	1400	Ma	0	261	-5	5	350	4	Sudbury Dike direction	-8	193	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
55	Sudbury Dikes	i	g	LP-DIR-AF:LP-DIR-T:DE-FM	10.1139/e77-158	Igneous	Volcanic Dike	Diabase	46.37	277.51	1238	4	1200	1400	Ma	0	264	2	10	83	4	Sudbury Dike direction	-3	193	Site lat & lon georeferenced from fig. 1-5 of Palmer et al. 1977; Age from Krogh et al. 1987 Geological Association of Canada Special Paper 34
