tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
SLB17	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5302	269.0692	1083.52	1091.61	Ma	100	283.0	50.2	68.0	6.8	8	30.7	192.9	6.1	9.1	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB18	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5301	269.0694	1083.52	1091.61	Ma	100	278.8	51.6	218.0	3.5	9	28.7	196.6	3.2	4.8	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB19	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5299	269.0696	1083.52	1091.61	Ma	100	282.9	48.8	231.0	3.4	9	29.8	191.8	3.0	4.5	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB20	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5298	269.0697	1083.52	1091.61	Ma	100	289.6	51.9	180.0	4.1	8	36.0	190.1	3.8	5.6	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB21	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5295	269.0700	1083.52	1091.61	Ma	100	284.7	45.4	201.0	3.9	8	29.1	188.2	3.1	5.0	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB22	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5279	269.0688	1083.52	1091.61	Ma	100	279.8	49.6	295.0	3.2	8	28.2	194.5	2.8	4.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB23	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5278	269.0688	1083.52	1091.61	Ma	100	294.7	47.7	41.0	8.7	8	37.0	183.0	7.4	11.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB24	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5276	269.0687	1083.52	1091.61	Ma	100	282.5	42.7	222.0	3.5	9	26.2	187.9	2.7	4.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB25	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5272	269.0689	1083.52	1091.61	Ma	100	277.5	42.0	148.0	4.0	10	22.5	190.9	3.0	4.9	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB26	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5265	269.0691	1083.52	1091.61	Ma	100	285.5	51.2	127.0	4.9	8	32.9	192.1	4.5	6.6	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB27	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5263	269.0694	1083.52	1091.61	Ma	100	282.5	49.6	48.0	7.5	9	30.0	192.7	6.6	10.0	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB28	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5259	269.0711	1083.52	1091.61	Ma	100	272.8	40.5	16.0	14.1	8	18.7	193.2	10.3	17.1	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB29	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5260	269.0717	1083.52	1091.61	Ma	100	270.5	20.1	85.0	6.6	7	8.0	185.8	3.6	6.9	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB30	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5254	269.0737	1083.52	1091.61	Ma	100	283.8	45.6	149.0	4.6	8	28.6	188.9	3.7	5.9	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB31	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5253	269.0738	1083.52	1091.61	Ma	100	293.6	43.3	344.0	2.8	9	34.0	180.5	2.2	3.5	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB32	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5250	269.0743	1083.52	1091.61	Ma	100	291.3	52.1	8.0	20.7	8	37.2	189.2	19.4	28.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB33	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5249	269.0744	1083.52	1091.61	Ma	100	291.6	38.8	264.0	3.4	8	30.4	179.1	2.4	4.0	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB34	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5249	269.0745	1083.52	1091.61	Ma	100	287.4	43.2	248.0	3.5	8	29.8	184.8	2.7	4.3	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB35	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5246	269.0747	1083.52	1091.61	Ma	100	294.5	46.8	387.0	2.6	9	36.4	182.5	2.2	3.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB36	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5242	269.0758	1083.52	1091.61	Ma	100	288.4	40.9	194.0	3.7	9	29.3	182.7	2.7	4.5	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB37	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5241	269.0765	1083.52	1091.61	Ma	100	294.0	46.9	394.0	2.6	9	36.1	182.9	2.2	3.4	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB38	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5243	269.0773	1083.52	1091.61	Ma	100	286.9	45.6	70.0	6.7	8	30.7	186.8	5.4	8.5	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB39	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5243	269.0774	1083.52	1091.61	Ma	100	293.8	47.3	356.0	2.9	8	36.2	183.3	2.4	3.8	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
SLB40	Schroeder-Lutsen basalts	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	10.1130/L580.1	Igneous	Lava Flow	Basalt	47.5243	269.0776	1083.52	1091.61	Ma	100	292.1	52.3	147.0	5.0	7	37.9	188.8	4.7	6.9	Schroeder-Lutsen basalt lava flow, Two Island River section; magnetite (low-temperature) component, tilt-corrected (Fairchild et al., 2017).
ns006	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.7161	269.5096	1083.52	1091.61	Ma	100	294.9	38.4	653.4	3.0	5	32.4	176.7	2.1	3.6	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns007	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.7012	269.4609	1083.52	1091.61	Ma	100	301.5	40.6	173.7	5.8	5	37.9	172.9	4.2	7.0	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns008	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.6011	269.2135	1083.52	1091.61	Ma	100	309.4	44.7	252.3	4.8	5	45.3	169.3	3.8	6.1	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns009	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.5979	269.2085	1083.52	1091.61	Ma	100	281.9	49.0	407.0	4.6	4	29.3	192.7	4.0	6.1	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns010	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.5941	269.2027	1083.52	1091.61	Ma	100	285.7	39.5	284.0	4.5	5	26.7	183.8	3.2	5.4	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns011	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.5853	269.1848	1083.52	1091.61	Ma	100	290.1	27.2	249.6	4.9	5	24.1	174.3	2.9	5.3	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns012	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.5461	269.1064	1083.52	1091.61	Ma	100	282.5	41.2	96.6	9.4	4	25.4	187.0	7.0	11.4	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns013	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.5510	269.1172	1083.52	1091.61	Ma	100	285.2	38.2	446.6	4.4	4	25.8	183.4	3.1	5.2	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns014	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.4691	268.9857	1083.52	1091.61	Ma	100	272.8	31.7	1458.2	2.0	5	14.4	188.8	1.3	2.2	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
ns015	Schroeder-Lutsen basalts	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1016/j.pepi.2009.07.006	Igneous	Lava Flow	Basalt	47.4692	268.9863	1083.52	1091.61	Ma	100	292.0	26.6	353.9	4.9	4	25.1	172.4	2.9	5.3	Schroeder-Lutsen basalt lava flow (above the North Shore Volcanic Group); tilt-corrected site mean of Tauxe & Kodama (2009); VGP recomputed here from the site mean direction.
