Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,f,INCf,PLATf,PLONf,DPf,DMf,A95f,f.1,INCf.1,PLATf.1,PLONf.1,DPf.1,DMf.1,A95f.1,%REV,DEMAGCODE,40,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,R,Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME.1,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment
Laurentia-Rae,Martin Formation,2659,,"F+,Ro",100.0,59.599998,251.400002,15.0,56.0,322.5,-29.4,,15.0,10.4,-9.0,288.0,6.3,11.5,,0.6,-43.2,-0.2,104.8,8.0,12.9,10.2,0.6,-43.2,-0.2,104.8,8.0,12.9,10.2,60,2.0,,,,,,0.0,1.0,1.0,,0.0,,1.0,0,0.0,f,1.0,1.0,0.0,,A,,1814.0,1822.0,"1818±4, NEW",Martin Formation,"Evans,M.E., Bingham,D.K.",1973.0,Canad.J.Earth Sci.,10,1485-1493,"Paleomagnetism of the Precambrian Martin Formation, Saskatchewan",Overlaps with Siluro-Devonian path
Laurentia-Rae,Clearwater Anorthosite,8429,A Magnetization,,0.0,57.099998,251.599998,8.0,115.0,112.300003,38.0,,315.799988,3.1,6.5,311.799988,2.2,3.7,,1.0,38.0,6.5,311.799988,2.2,3.7,,1.0,38.0,6.5,311.799988,2.2,3.7,,0,4.0,,,,,,1.0,0.0,0.0,,1.0,,,,,,,,,,B,,1910.0,1924.0,"1917±7, GPMDB4.6",Clearwater Anorthosite,"Halls,H.C., Hanes,J.A.",1999.0,Tectonophysics,312,235-248,"Paleomagnetism, anisotropy of magnetic susceptibility and argon-argon geochronology of the Clearwater anorthosite, Saskatchewan, Canada",
Laurentia-Rae,Sparrow Dykes,2642,,"Co,Ro",0.0,61.599998,250.199997,10.0,54.0,131.0,51.0,,50.0,7.0,12.0,291.0,6.6,9.4,,1.0,51.0,12.0,291.0,6.6,9.4,,1.0,51.0,12.0,291.0,6.6,9.4,,20,3.0,,,,,,1.0,0.0,1.0,,0.0,,,,,,,,,,B,,1823.0,1831.0,"1827±4, new",Sparrow Dykes,"McGlynn,J.C., Hanson,G.N., Irving,E., Park,J.K.",1974.0,Canad.J.Earth Sci.,11,30-42,"Paleomagnetism and age of Nonacho Group Sandstones and associated Sparrow dikes, District of Mackenzie",Overlaps with Siluro-Devonian path
Laurentia-Scotland,MEAN Stoer Group,NEW,"sample-weighted mean of (Stewart+Irving 74, Smith+83, TS87 Achiltibuie, TS87 Stoer, Darabi+Piper 04, Borradaile+Geneviciene 08)",many,100.0,58.0,354.5,,610.0,310.8,34.7,,1000.0,0.1,37.2,238.4,7.7,7.7,,0.6,49.1,46.4,246.3,7.7,7.7,7.7,0.6,49.1,46.4,246.3,7.7,7.7,7.7,MIXED,4.0,,,,,,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,B,,1129.0,1269.0,"1199±70, ",MEAN Stoer Group,LULEÅ WORKING GROUP MEAN,2009.0,,,,,Overlaps with Keweenawan Track
Laurentia-Scotland,MEAN Torridon Group,NEW,"sample-weighted mean of (Irving+Runcorn 57, Stewart+Irving 74, Smith+83, Torsvik+Sturt 87, Potts 90, Williams+Schmidt 97, Borradaile+Geneviciene 08)",many,100.0,57.9,354.3,,880.0,119.6,56.7,,1000.0,0.1,-17.7,220.9,7.1,7.1,,0.6,68.5,30.2,32.8,7.1,7.1,7.1,0.6,68.5,30.2,32.8,7.1,7.1,7.1,MIXED,4.0,,,,,,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,B,,780.0,1070.0,,MEAN Torridon Group,LULEÅ WORKING GROUP MEAN,2009.0,,,,,Overlaps with Long Range Dikes
Laurentia-Slave,"Douglas Peninsula Formation, Pethei Group",16,High temp.,Ro,100.0,62.799999,249.699997,6.0,43.0,172.0,18.0,,14.0,19.0,-18.0,258.0,10.2,19.700001,,0.6,28.4,-11.8,257.6,11.4,20.9,15.5,0.8,22.1,-15.5,257.8,10.6,20.1,14.6,33,3.0,,,,,,1.0,0.0,1.0,,1.0,,,,,,,,,,B,,1866.0,1886.0,"correlation across Slave:  older than 1870±4; younger than 1882±4, Davis+Bleeker 07 GAC abst, correln Mitchell+10","Douglas Peninsula Formation, Pethei Group","Irving,E., McGlynn,J.C.",1979.0,Geophys.J.Roy.Astron.Soc.,58,309-336,Palaeomagnetism in the Coronation Geosyncline and arrangements of continents in the middle Proterozoic,
Laurentia-Slave,Rifle (Western River) Formation,5915,,"Ro,C*+ (baked contact test with intruding Mara River Sheet at 1870 Ma)",100.0,65.900002,252.900002,22.0,65.0,86.0,25.0,,12.0,9.0,14.0,341.0,6.0,10.0,,0.6,37.9,20.9,337.5,6.3,10.6,8.2,0.6,37.9,20.9,337.5,6.3,10.6,8.2,23,3.0,,,,,,1.0,1.0,1.0,,0.0,,,,,,,,,,B,,1957.0,1969.0,"1963±6, Bowring+Grotz 92",Rifle (Western River) Formation,"Evans,M.E., Hoye,G.S.",1981.0,Geol.Surv.Canada Paper 81-10,,191-202,"Paleomagnetic results from the Lower Proterozoic rocks of Great Slave Lake and Bathurst Inlet areas, Northwest Territories",
Laurentia-Slave,"MEAN Kahochella, Peacock Hills",new,,,100.0,65.0,250.0,33.0,1000.0,145.4,16.9,,1000.0,0.1,-12.0,285.0,7.0,7.0,,0.6,26.9,-6.6,283.7,4.1,7.6,5.6,0.6,26.9,-6.6,283.7,4.1,7.6,5.6,MIXED,2.0,,,,,,0.0,0.0,1.0,,1.0,,,,,,,,,,B,,1878.0,1886.0,"regional correlations, Bowring+Grotz 92","MEAN Kahochella, Peacock Hills","Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010.0,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05–1.8 Ga) paleomagnetic poles from Slave craton,
Laurentia-Slave,Takiyuak Formation,18,,Ro,100.0,66.099998,246.900002,17.0,111.0,178.0,19.0,,15.0,10.0,-13.0,249.0,8.0,8.0,,0.6,29.9,-7.9,248.8,6.1,11.1,8.3,0.6,29.9,-7.9,248.8,6.1,11.1,8.3,18,3.0,,,,,,1.0,0.0,1.0,,1.0,,,,,,,,,,B,,1866.0,1886.0,"correlation across Slave:  older than 1870±4; younger than 1882±4, Davis+Bleeker 07 GAC abst, correln Mitchell+10",Takiyuak Formation,"Irving,E., McGlynn,J.C.",1979.0,Geophys.J.Roy.Astron.Soc.,58,309-336,Palaeomagnetism in the Coronation Geosyncline and arrangements of continents in the middle Proterozoic,
Laurentia-Slave,Defeat Suite,9407,,C*+,0.0,62.5,245.5,5.0,58.0,2.0,-47.0,,30.0,14.0,-1.0,64.0,15.0,15.0,,1.0,-47.0,-1.0,64.0,15.0,15.0,,1.0,-47.0,-1.0,64.0,15.0,15.0,,0,4.0,,,,,,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,B,,2620.0,2630.0,"2625, U-Pb: 2628 pm 3, 2624 pm4",Defeat Suite,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014.0,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,
Laurentia-Slave,Malley dykes,9405,,C*+,0.0,64.2,249.8,9.0,45.0,138.3,-53.8,,81.0,5.8,-50.8,310.0,6.7,6.7,,1.0,-53.8,-50.8,310.0,6.7,6.7,,1.0,-53.8,-50.8,310.0,6.7,6.7,,0,4.0,,,,,,1.0,1.0,1.0,0.0,0.0,,1.0,1,1.0,c,1.0,0.0,0.0,,A,,2229.0,2233.0,"2231, U-Pb (b); authors",Malley dykes,"Buchan, K., LeCheminant, A.N., van Breemen, O.",2012.0,Can. J. Earth Sci.,49,435-454,"Malley diabase dykes of the Slave craton, Canadian Shield: U-Pb age, paleomagnetism, and implications for continental reconstructions in the early Paleoproterozoic",Corresponds with Mesozoic APWP
Laurentia-Slave,Dogrib dykes,9406,,C+,0.0,62.5,245.5,14.0,134.0,302.0,33.0,,34.0,7.0,-31.0,315.0,7.0,7.0,,1.0,33.0,-31.0,315.0,7.0,7.0,,1.0,33.0,-31.0,315.0,7.0,7.0,,0,4.0,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0,1,1.0,C,1.0,0.0,1.0,,A,,2191.0,2195.0,"2193, U-Pb (b); authors",Dogrib dykes,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014.0,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,
Laurentia-Slave,Indin dykes,9484,,C+,0.0,62.5,245.6,18.0,1000.0,300.0,-70.0,70.0,62.0,4.0,36.0,76.0,7.0,7.0,7.0,1.0,-70.0,36.0,76.0,7.0,7.0,7.0,1.0,-70.0,36.0,76.0,7.0,7.0,7.0,33or67,4.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,C,1.0,1.0,1.0,,A,2126.0,2108.0,2129.0,"2126±3, U-Pb (b); authors and unpublished abstract cited therein",Indin dykes ,"Buchan, Kenneth L. and Mitchell, Ross N. and Bleeker, Wouter and Hamilton, Michael A. and LeCheminant, Anthony N.",2016.0,Precambrian Research,275,151-175,"Paleomagnetism of ca. 2.13–2.11 Ga Indin and ca. 1.885 Ga Ghost dyke swarms of the Slave craton: Implications for the Slave craton APW path and relative drift of Slave, Superior and Siberian cratons in the Paleoproterozoic",
Laurentia-Slave,Lac de Gras dykes,9404,,"C*+,C+",0.0,64.4,249.6,10.0,54.0,338.2,-55.3,,68.0,5.9,11.8,267.9,6.0,8.4,,1.0,-55.3,11.8,267.9,6.0,8.4,,1.0,-55.3,11.8,267.9,6.0,8.4,,0or100,4.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,1,1.0,Cc,1.0,0.0,1.0,,A,,2021.0,2031.0,"2023±2, 2027±4 U-Pb baddeleyite, Buchan+09 CJES",Lac de Gras dykes,"Buchan,K.L., LeCheminant,A.N., van Breemen,O.",2009.0,Canad.J.Earth Sci.,46,361-379,"Paleomagnetism and U-Pb geochronology of the Lac de Gras diabase dyke swarm, Slave Province, Canada: implications for relative drift of Slave and Superior provinces in the Paleoproterozoic",
Laurentia-Slave,Ghost Dike Swarm,9485,,C+,0.0,62.6,244.6,23.0,1000.0,350.0,-48.0,48.0,32.0,5.0,2.0,254.0,6.0,6.0,6.0,1.0,-48.0,2.0,106.0,6.0,6.0,6.0,1.0,-48.0,2.0,106.0,6.0,6.0,6.0,74,4.0,,,,,,1.0,1.0,1.0,,0.0,,1.0,1,1.0,C,1.0,1.0,0.0,,A,1887.0,1878.0,1892.0,"1887±5, 1884±6 U-Pb baddeleyite; authors and unpublished abstract cited therein",Ghost Dike Swarm,"Buchan, Kenneth L. and Mitchell, Ross N. and Bleeker, Wouter and Hamilton, Michael A. and LeCheminant, Anthony N.",2016.0,Precambrian Research,275,151-175,"Paleomagnetism of ca. 2.13–2.11 Ga Indin and ca. 1.885 Ga Ghost dyke swarms of the Slave craton: Implications for the Slave craton APW path and relative drift of Slave, Superior and Siberian cratons in the Paleoproterozoic",Corresponds with Devonian pole
Laurentia-Slave,MEAN Seton/Akaitcho/Mara,new,,C*+,100.0,65.0,250.0,82.0,1000.0,169.5,34.0,,1000.0,0.1,-6.0,260.0,4.0,4.0,,1.0,34.0,-6.0,260.0,4.0,4.0,,1.0,34.0,-6.0,260.0,4.0,4.0,,MIXED,3.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,B,,1880.0,1890.0,"regional correlations, Bowring+Grotz 92; Ghost dykes REF",MEAN Seton/Akaitcho/Mara,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010.0,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05–1.8 Ga) paleomagnetic poles from Slave craton,
Laurentia-Slave,MEAN Pearson A/Peninsular sill/Kilohigok basin sill,new,,C+,,65.0,250.0,22.0,1000.0,162.4,3.5,,1000.0,0.1,-22.0,269.0,6.0,6.0,,1.0,3.5,-13.0,249.0,8.0,8.0,,1.0,3.5,-13.0,249.0,8.0,8.0,,MIXED,2.0,,,,,,0.0,1.0,1.0,,1.0,,1.0,1,1.0,C,1.0,1.0,1.0,,A,,1866.0,1874.0,"U-Pb on Kilohigok (Mara River) sill; Peninsular Sill, Davis+Bleeker 07 GAC abst",MEAN Pearson A/Peninsular sill/Kilohigok basin sill,"Mitchell,R.N., Hoffman,P.F., Evans,D.A.D.",2010.0,Precambrian Res.,179,121-134,Coronation loop resurrected: Oscillatory apparent polar wander of Orosirian (2.05–1.8 Ga) paleomagnetic poles from Slave craton,
Laurentia-Superior,MEAN Haig/Flaherty/Sutton,new,site-weighted VGP means from 3 results,"C+,F+,Rc",100.0,56.0,279.0,27.0,100.0,38.7,-47.8,,1000.0,0.1,1.0,245.8,3.9,3.9,,1.0,-47.8,1.0,245.8,3.9,3.9,,1.0,-47.8,1.0,245.8,3.9,3.9,,MIXED,3.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,B,,1869.0,1871.0,"1870±1, Hamilton+09 GAC",MEAN Haig/Flaherty/Sutton,LULEÅ WORKING GROUP MEAN,2009.0,,,,,
Laurentia-Superior(East),Otto Stock Dykes and Aureole,2629,N+R Component,"C*+,R-",0.0,48.0,279.900002,18.0,84.0,330.0,71.0,,139.0,3.0,69.0,227.0,4.5,5.2,,1.0,71.0,69.0,227.0,4.5,5.2,,1.0,71.0,69.0,227.0,4.5,5.2,,17or83,3.0,,,,,,1.0,1.0,1.0,,0.0,,,,,,,,,,B,,2671.0,2681.0,"2680±1 for stock, but lamprophyre dykes are younger (ca.2670-2675), J.Ayers, pers.comm. 2008",Otto Stock Dykes and Aureole,"Pullaiah,G., Irving,E.",1975.0,Canad.J.Earth Sci.,12,1609-1618,"Paleomagnetism of the contact aureole and late dikes of the Otto Stock, Ontario, and its application to Early Proterozoic apparent polar wandering",Overlaps with Cenozoic
Laurentia-Superior(East),PTARMIGAN MEAN,new,,,0.0,54.0,287.0,3.0,18.0,49.6,46.1,,0.1,1000.0,-45.3,213.0,13.8,13.8,,1.0,46.1,-45.3,213.0,13.8,13.8,,1.0,46.1,-45.3,213.0,13.8,13.8,,0or100,3.0,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,B,,2503.0,2507.0,"2505±2, ",PTARMIGAN MEAN,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,
Laurentia-Superior(East),MATACHEWAN R,new,,C+,0.0,48.0,278.0,,1000.0,207.6,-16.6,,1000.0,0.1,-44.1,238.3,1.6,1.6,,1.0,-16.6,-44.1,238.3,1.6,1.6,,1.0,-16.6,-44.1,238.3,1.6,1.6,,0or100,4.0,,,,,,1.0,1.0,1.0,0.0,1.0,,0.0,0,1.0,C,1.0,0.0,1.0,,A,,2443.0,2489.0,"two ages, both U-Pb(z)",MATACHEWAN R,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,
Laurentia-Superior(East),MATACHEWAN N,new,,C+,0.0,48.0,278.0,,1000.0,23.3,29.1,,1000.0,0.1,-52.3,239.5,2.4,2.4,,1.0,29.1,-52.3,239.5,2.4,2.4,,1.0,29.1,-52.3,239.5,2.4,2.4,,0or100,4.0,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0,0,1.0,C,1.0,0.0,1.0,,A,,2443.0,2449.0,"2446±3, ",MATACHEWAN N,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,
Laurentia-Superior(East),SENNETERRE,B+93,,C+,0.0,49.0,283.0,6.0,1000.0,358.6,-43.9,,1000.0,0.1,-15.3,284.3,6.0,6.0,,1.0,-43.9,-15.3,284.3,6.0,6.0,,1.0,-43.9,-15.3,284.3,6.0,6.0,,MIXED,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,0,1.0,C,1.0,1.0,1.0,,A,,2212.0,2224.0,"2216+8/-4, ",SENNETERRE,Buchan et al.,1993.0,Can. J. Earth Sci.,30,1286-1296,Northeast-trending Early Proterozoic dykes of southern Superior Province: multiple episodes of emplacement recognized from integrated paleomagnetism and U-Pb geochronology,
Laurentia-Superior(East),NIPISSING N1,B+00,,C+,0.0,47.0,279.0,,1000.0,7.4,-43.9,,1000.0,0.1,-17.0,272.0,10.0,10.0,,1.0,-43.9,-17.0,272.0,10.0,10.0,,1.0,-43.9,-17.0,272.0,10.0,10.0,,MIXED,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,C,1.0,1.0,1.0,,A,,2213.0,2221.0,"2217±4, ",NIPISSING N1,Buchan et al.,2000.0,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles,
Laurentia-Superior(East),BISCOTASING,7189,,C+,0.0,48.0,280.0,12.0,1000.0,263.9,60.4,,1000.0,0.1,26.0,223.9,7.0,7.0,,1.0,60.4,26.0,223.9,7.0,7.0,,1.0,60.4,26.0,223.9,7.0,7.0,,0or100,4.0,,,,,,1.0,1.0,1.0,0.0,1.0,,1.0,1,1.0,C,1.0,0.0,1.0,,A,,2167.0,2172.0,"2167-2172, range of ages summarized in Halls et al. 2008",BISCOTASING,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,
Laurentia-Superior(East),LAC ESPRIT,9486,,,0.0,53.0,282.0,8.0,82.0,146.9,-56.4,,1000.0,0.1,62.0,170.5,6.4,6.4,,1.0,-56.4,62.0,170.5,6.4,6.4,,1.0,-56.4,62.0,170.5,6.4,6.4,,0or100,4.0,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,1,1.0,0,1.0,0.0,1.0,,A,,2068.0,2070.0,"2069±1, ",LAC ESPRIT,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Cenozoic
Laurentia-Superior(East),MINTO,8310,,,0.0,57.0,285.0,6.0,44.0,130.0,-37.2,,1000.0,0.1,38.7,171.5,13.1,13.1,,1.0,-37.2,38.7,171.5,13.1,13.1,,1.0,-37.2,38.7,171.5,13.1,13.1,,MIXED,4.0,,,,,,1.0,0.0,1.0,1.0,0.0,,1.0,0,1.0,0,1.0,1.0,0.0,,A,,1996.0,2000.0,"1998±2, ",MINTO,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Keweenawan Track
Laurentia-Superior(West),MARATHON N,H+08,,,0.0,49.0,275.0,,1000.0,296.9,59.2,,1000.0,0.1,45.4,198.2,7.7,7.7,,1.0,59.2,45.4,198.2,7.7,7.7,,1.0,59.2,45.4,198.2,7.7,7.7,,0or100,4.0,,,,,,1.0,0.0,1.0,0.0,0.0,,1.0,1,1.0,0,1.0,0.0,0.0,,A,,2121.0,2126.0,"2121-2126, ",MARATHON N,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",2008.0,Precambrian Res.,162,327-353,The Paleoproterozoic Marathon Large Igneous Province: New evidence for a 2.1 Ga long-lived mantle plume event along the southern margin of the North American Superior Province,Overlaps with Keweenawan Track
Laurentia-Superior(West),MARATHON R,H+08,,C+,0.0,49.0,275.0,,1000.0,134.4,-56.4,,1000.0,0.1,55.1,182.2,7.5,7.5,,1.0,-56.4,55.1,182.2,7.5,7.5,,1.0,-56.4,55.1,182.2,7.5,7.5,,0or100,4.0,,,,,,1.0,1.0,1.0,0.0,0.0,,1.0,1,1.0,C,1.0,0.0,0.0,,A,,2101.0,2106.0,"2101-2106, ",MARATHON R,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",2008.0,Precambrian Res.,162,327-353,The Paleoproterozoic Marathon Large Igneous Province: New evidence for a 2.1 Ga long-lived mantle plume event along the southern margin of the North American Superior Province,Overlaps with Mesozoic APWP
Laurentia-Superior(West),CAUCHON LAKE,8548,,C+,0.0,56.0,263.0,,1000.0,123.3,-63.9,,1000.0,0.1,53.8,180.9,7.7,7.7,,1.0,-63.9,53.8,180.9,7.7,7.7,,1.0,-63.9,53.8,180.9,7.7,7.7,,0or100,4.0,,,,,,1.0,1.0,1.0,0.0,0.0,,1.0,1,1.0,C,1.0,0.0,0.0,,A,,2089.0,2093.0,"2091±2, ",CAUCHON LAKE,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Mesozoic APWP
Laurentia-Superior(West),FORT FRANCES,1739,,,0.0,48.0,266.0,,1000.0,117.2,-54.8,,1000.0,0.1,42.8,184.6,6.1,6.1,,1.0,-54.8,42.8,184.6,6.1,6.1,,1.0,-54.8,42.8,184.6,6.1,6.1,,0or100,3.0,,,,,,1.0,0.0,1.0,0.0,0.0,,1.0,1,1.0,0,1.0,0.0,0.0,,A,,2072.0,2081.0,"2076+5/-4, ",FORT FRANCES,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,Overlaps with Keweenawan Track
Laurentia-Superior(West),MOLSON B+C2,new,,C+,0.0,55.0,262.0,,1000.0,248.6,66.7,,1000.0,0.1,28.9,218.0,3.8,3.8,,1.0,66.7,28.9,218.0,3.8,3.8,,1.0,66.7,28.9,218.0,3.8,3.8,,MIXED,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,C,1.0,1.0,1.0,,A,,1873.0,1884.0,"1877+7/-4, ",MOLSON B+C2,"Evans,D.A.D., Halls,H.C.",2010.0,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,
Laurentia-Svalbard,Lower Grusdievbreen Formation,9657,,Fo,100.0,79.0,18.0,4.0,53.0,354.4,16.1,,39.9,14.7,19.6,204.9,7.8,15.1,,0.6,25.7,24.5,204.0,8.6,15.9,11.7,0.8,19.8,21.2,203.9,8.0,15.4,11.1,MIXED,4.0,,,,,,1.0,0.0,0.0,,1.0,,,,,,,,,,B,,811.0,850.0,"pre-Bitter Springs, authors",Lower Grusdievbreen Formation,"Maloof,A.C., Halverson,G.P., Kirschvink,J.L., Schrag,D.P., Weiss,B.P., Hoffman,P.F.",2006.0,Geol.Soc.Am.Bulletin,118,1099-1124,"Combined paleomagnetic, isotopic, and stratigraphic evidence for true polar wander from the Neoproterozoic Akademikerbreen Group, Svalbard, Norway",
Laurentia-Svalbard,Upper Grusdievbreen Formation,9656,,Fo,100.0,78.9,18.2,5.0,107.0,126.3,14.7,,84.2,8.4,-1.1,252.6,4.4,8.6,,0.6,23.6,5.6,70.5,4.8,9.0,6.5,0.8,18.2,2.7,71.0,4.5,8.7,6.3,MIXED,4.0,,,,,,1.0,0.0,0.0,,1.0,,,,,,,,,,B,,789.0,811.0,"789-811, authors",Upper Grusdievbreen Formation,"Maloof,A.C., Halverson,G.P., Kirschvink,J.L., Schrag,D.P., Weiss,B.P., Hoffman,P.F.",2006.0,Geol.Soc.Am.Bulletin,118,1099-1124,"Combined paleomagnetic, isotopic, and stratigraphic evidence for true polar wander from the Neoproterozoic Akademikerbreen Group, Svalbard, Norway",
Laurentia-Svalbard,Svanbergfjellet Formation,9655,,F*+,100.0,78.5,18.0,1.0,18.0,333.2,29.4,,25.2,7.0,25.9,226.8,4.3,7.7,,0.6,43.2,35.3,228.0,5.4,8.7,6.9,0.8,35.2,29.6,227.3,4.7,8.1,6.1,0or100,4.0,,,,,,1.0,1.0,0.0,,1.0,,,,,,,,,,B,,730.0,789.0,"pre-Islay anomaly, post BS, authors",Svanbergfjellet Formation,"Maloof,A.C., Halverson,G.P., Kirschvink,J.L., Schrag,D.P., Weiss,B.P., Hoffman,P.F.",2006.0,Geol.Soc.Am.Bulletin,118,1099-1124,"Combined paleomagnetic, isotopic, and stratigraphic evidence for true polar wander from the Neoproterozoic Akademikerbreen Group, Svalbard, Norway",
Laurentia-Trans-Hudson orogen,Boot-Phantom Pluton,8359,,"Rc,C+",0.0,54.700001,258.099998,18.0,90.0,46.700001,83.199997,,72.0,4.1,62.400002,279.399994,7.9,8.0,,1.0,83.199997,62.400002,279.399994,7.9,8.0,,1.0,83.199997,62.400002,279.399994,7.9,8.0,,6,4.0,,,,,,1.0,1.0,0.0,,1.0,,,,,,,,,,B,,1837.0,1839.0,", GPMDB4.6",Boot-Phantom Pluton,"Symons,D.T.A., Mackay,C.D.",1999.0,Basement Tectonics,13,313-331,"Paleomagnetism of the Boot-Phantom pluton and the amalgamation of the Juvenile domains in the Paleoproterozoic Trans-Hudson Orogen, Canada",
Laurentia-Wyoming,Stillwater Complex - C2,9917,,,,45.2,249.2,,74.0,171.0,-63.0,,32.0,2.9,-83.6,335.8,3.6,4.6,,1.0,-63.0,-83.6,335.8,3.6,4.6,,1.0,-63.0,-83.6,335.8,3.6,4.6,,100,4.0,,,,,,1.0,0.0,1.0,,0.0,,1.0,1,1.0,0,1.0,0.0,0.0,,A,,2701.0,2709.0,"2705±4, new",Stillwater Complex - C2,"Selkin, P.A., Gee, J.S., Meurer, W.P., Hemming, S.R.",2008.0,G-cubed,9,23pp,"Paleointensity record from the 2.7 Ga Stillwater Complex, Montana",Corresponds to Cenozoic/Present Local Field
Laurentia-Wyoming,"Rabbit Creek, Powder River and South Path Dykes",9496,,"C+,Rc
",100.0,43.9,,13.0,81.0,212.8,-59.0,,48.5,6.0,65.5,339.2,7.6,7.6,7.6,1.0,-59.0,65.5,339.2,7.6,7.6,7.6,1.0,-59.0,65.5,339.2,7.6,7.6,7.6,"15or85
",4.0,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,C,1.0,1.0,1.0,,A,2160.0,2152.0,2171.0,"U-Pb baddeleyite: 2156+/-3  2154+/-3  2158+/-4  2164+/-7  2164+/-7 Ma
","Rabbit Creek, Powder River and South Path Dykes","Kilian, T.M., Bleeker, W., Chamberlain, K., Evans, D.A.D., Cousens, B.
",2015.0,"Geological Society, London, Special Publications",424,15–45,"Palaeomagnetism, geochronology and geochemistry of the Palaeoproterozoic Rabbit Creek and Powder River dyke swarms: implications for Wyoming in supercraton Superia",
Laurentia-Wyoming,Sourdough mafic dike swarm,9539,,"C+,Ro",0.0,44.7,-108.3,16.0,109.0,65.1,75.2,,21.8,4.7,49.2,292.0,8.1,8.1,8.1,1.0,75.2,49.2,292.0,8.1,8.1,8.1,1.0,75.2,49.2,292.0,8.1,8.1,8.1,6or94,4.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0,1.0,C,1.0,1.0,0.0,,A,1899.0,,,"U-Pb baddeleyite: 1899+/-5 Ma
",Sourdough mafic dike swarm,"Kilian, T.M., Chamberlain, K.R., Evans, D.A.D., Bleeker, W., Cousens, B.L.",2016.0,Geology,44,863–866,Wyoming on the run—Toward  nal Paleoproterozoic assembly of Laurentia,Overlaps with Ediacaran poles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
