Terrane,ROCKNAME,GPMDB RESULT#,MAGIC #,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,KD,ED95,PLAT,PLONG,DP,DM,A95,f (1.0 vs 0.6),INCf,PLATf,PLONf,DPf,DMf,A95f,f (1.0/0.8/0.6),INCf,PLATf,PLONf,DPf,DMf,A95f,%REV,DEMAGCODE,Q1,24,10,16,Q2,Q3,Q4,Q5,Q6,Q7,Q(7),R1,R2,R3,R4,R5,R6,R7,Rsum,Grade,Grade E+21,nominal age,age diff,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,Comment,Lithology
Laurentia-Superior(West),Marathan R dykes,H+08,,,C+,0,49,275,†,1000,134.4,-56.4,1000,0.1,55.1,182.2,7.5,7.5,7.5,1,-56.4,55.1,182.2,7.5,7.5,7.5,1,-56.4,55.1,182.2,7.5,7.5,7.5,0or100,4,1,1,1,1,1,1,1,1,0,0,5,1,1,1,C,1,0,1,6,A,A,2106,8,2102,2110,"Hamilton et al., 2002, Halls et al., 2005, and Halls et al., 2008 both did U-Pb baddeleyite dating on the Marathon dikes, the findings are that the R polarity dikes appeared o have younger ages than the N polarity dikes. There are a few dated R polarity dikes that show ages around 2104, 2106, 2106 Ma, whereas there is a N polarity dike that yielded an age of 2125.7 $\pm$ 1.2 Ma. All ages are single crystal baddeleyite TIMS dates. ",Marathan R dykes,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",2008,Precambrian Res.,162,327-353,The Paleoproterozoic Marathon Large Igneous Province: New evidence for a 2.1 Ga long-lived mantle plume event along the southern margin of the North American Superior Province,Overlaps with Mesozoic APWP,
Laurentia-Slave,Indin dykes,9484,,,C+,0,62.5,245.6,18,1000,300,-70,62,4,36,76,7,7,7,1,-70,36,76,7,7,7,1,-70,36,76,7,7,7,33or67,4,1,1,1,1,1,1,1,1,1,1,7,1,1,1,C,1,1,1,7,A,A,2126,6,2123,2129,"2126±3, U-Pb baddeleyite upper intercept ages from Buchan et al., 2016; although they cite abstracts by Blleker et al., 2008 to have a much younger date of 2108 Ma, that date is not published and we do not consider it here. ",Indin dykes,"Buchan, Kenneth L. and Mitchell, Ross N. and Bleeker, Wouter and Hamilton, Michael A. and LeCheminant, Anthony N.",2016,Precambrian Research,275,151-175,"Paleomagnetism of ca. 2.13ñ2.11 Ga Indin and ca. 1.885 Ga Ghost dyke swarms of the Slave craton: Implications for the Slave craton APW path and relative drift of Slave, Superior and Siberian cratons in the Paleoproterozoic",,
Laurentia-Superior(West),Marathon N dykes,H+08,,,,0,49,275,†,1000,296.9,59.2,1000,0.1,45.4,198.2,7.7,7.7,7.7,1,59.2,45.4,198.2,7.7,7.7,7.7,1,59.2,45.4,198.2,7.7,7.7,7.7,0or100,4,1,1,1,1,1,1,0,1,0,0,4,1,1,1,0,1,0,0,4,A,A,2126,2,2125,2127,"Hamilton et al., 2002, Halls et al., 2005, and Halls et al., 2008 both did U-Pb baddeleyite dating on the Marathon dikes, the findings are that the R polarity dikes appeared o have younger ages than the N polarity dikes. There are a few dated R polarity dikes that show ages around 2104, 2106, 2106 Ma, whereas there is a N polarity dike that yielded an age of 2125.7 $\pm$ 1.2 Ma. All ages are single crystal baddeleyite TIMS dates. ",Marathon N dykes,"Halls,H.C., Davis,D.W., Stott,G.M., Ernst,R.E., Hamilton,M.A.",2008,Precambrian Res.,162,327-353,The Paleoproterozoic Marathon Large Igneous Province: New evidence for a 2.1 Ga long-lived mantle plume event along the southern margin of the North American Superior Province,Overlaps with Keweenawan Track,
Laurentia-Wyoming,"Rabbit Creek, Powder River and South Path Dykes",9496,,,"C+,Rc",100,43.9,252.8,13,81,212.8,-59,48.5,6,65.5,339.2,7.6,7.6,7.6,1,-59,65.5,339.2,7.6,7.6,7.6,1,-59,65.5,339.2,7.6,7.6,7.6,15or85,4,1,1,1,1,1,1,1,1,1,1,7,1,1,1,C,1,1,1,7,A,A,2160,19,2152,2171,"Kilian et al. 2015 study reported paleomagnetic data and U-Pb baddeleyite dates from four samples that yielded Powder River Pass dyke (2163.9$\pm$7.1 Ma), Wind River ñSouth Pass dyke (2164.1+7.3 Ma), ëFrench Creekí diabase dyke (2155.9$\pm$2.9 Ma), and ëRabbit Creekí diabase dyke (2154.2$\pm$2.2 Ma), and ëDike Cí near Hazelton Peak (2157.7$\pm$3.6 Ma). So the age range we should use would cover the range reported including uncertainty propagations. Let's do nominal age=2160 Ma,lomagage=2152 Ma, himagage=2171","Rabbit Creek, Powder River and South Path Dykes","Kilian, T.M., Bleeker, W., Chamberlain, K., Evans, D.A.D., Cousens, B.",2015,"Geological Society, London, Special Publications",424,15ñ45,"Palaeomagnetism, geochronology and geochemistry of the Palaeoproterozoic Rabbit Creek and Powder River dyke swarms: implications for Wyoming in supercraton Superia",,
Laurentia-Superior(East),Biscotasing dykes,7189,,,C+,0,48,280,12,1000,263.9,60.4,1000,0.1,26,223.9,7,7,7,1,60.4,26,223.9,7,7,7,1,60.4,26,223.9,7,7,7,0or100,4,1,1,1,1,1,1,1,1,0,1,6,1,1,1,C,1,0,1,6,A,A,2170,5,2166,2171,"2167-2172, range of ages summarized in Halls et al. 2008",Biscotasing dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,
Laurentia-Slave,Dogrib dykes,9406,,,C+,0,62.5,245.5,14,134,302,33,34,7,-31,315,7,7,7,1,33,-31,315,7,7,7,1,33,-31,315,7,7,7,0,4,1,1,1,1,1,1,1,1,0,1,6,1,1,1,C,1,0,1,6,A,A,2193,4,2191,2195,"U-Pb baddeleyite concordia upper intercept age from Main Dogrib dike, Yellowknife. Le Cheminant et al., 1997 has another date of 2188 $\pm$ 4 Ma which overlaps with this date and is superseded",Dogrib dykes,"Mitchell, R.N., Bleeker, W., Van Breemen, O., LeCheminant, A.N., Peng, P., Nilsson, M.K.M., Evans, D.A.D.",2014,Am. J. Sci.,314,878-894,Plate tectonics before 2.0 Ga: Evidence from paleomagnetism of cratons within supercontinent Nuna,,
Laurentia-Superior(East),Senneterre dykes,B+93,,,C+,0,49,283,6,1000,358.6,-43.9,1000,0.1,-15.3,284.3,6,6,6,1,-43.9,-15.3,284.3,6,6,6,1,-43.9,-15.3,284.3,6,6,6,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,1,0,1,C,1,1,1,6,A,A,2216,12,2212,2224,"Buchan et al., 1993 dated U-Pb baddeleyite from a Senneterre dike that has paired paleomagnetic data, yielding an age of 2214.3±12.4 Ma. In Buchan et al., 1996 and onward literature that age was cited as 2216+8/-4 Ma, which is the age we use here.",Senneterre dykes,Buchan et al.,1993,Can. J. Earth Sci.,30,1286-1296,Northeast-trending Early Proterozoic dykes of southern Superior Province: multiple episodes of emplacement recognized from integrated paleomagnetism and U-Pb geochronology,,
Laurentia-Superior(East),Nipissing N1 mean,B+00,,,C+,0,47,279,6,1000,7.4,-43.9,1000,0.1,-17,272,10,10,10,1,-43.9,-17,272,10,10,10,1,-43.9,-17,272,10,10,10,MIXED,4,1,1,1,1,1,1,1,1,1,1,7,1,1,1,C,1,1,1,7,A,A,2217,5,2214,2219,"A series of U-Pb dates have been developed from the Nipissing Sills in the literature, they are compiled in Table 1 of Davey et al., 2019. There is a range of ages but they are largely overlapping. We choose to use the abraded zircon U-Pb TIMS data from CA-ID-TIMS zircon and ID-TIMS baddeleyite ages from Bleeker et al., 2015 to make a call that the age constraints on the Nippising sills are between 2214 Ma and 2219 Ma. 
",Nipissing N1 mean,Buchan et al.,2000,Tectonophysics,319,167-198,Comparing the drift of Laurentia and Baltica in the Proterozoic: the importance of key palaeomagnetic poles,,
Laurentia-Slave,Malley dykes,9405,,,C*+,0,64.2,249.8,9,45,138.3,-53.8,81,5.8,-50.8,310,6.7,6.7,6.7,1,-53.8,-50.8,310,6.7,6.7,6.7,1,-53.8,-50.8,310,6.7,6.7,6.7,0,4,1,1,1,1,1,1,1,1,0,0,5,1,0,1,c,1,0,1,5,A,A,2231,4,2229,2233,"UñPb baddeleyite age from Buchan et al., 2012. ",Malley dykes,"Buchan, K., LeCheminant, A.N., van Breemen, O.",2012,Can. J. Earth Sci.,49,435-454,"Malley diabase dykes of the Slave craton, Canadian Shield: U-Pb age, paleomagnetism, and implications for continental reconstructions in the early Paleoproterozoic",Corresponds with Mesozoic APWP,
Laurentia-Superior(East),Matachewan N dykes,new,,,C+,0,48,278,†,1000,23.3,29.1,1000,0.1,-52.3,239.5,2.4,2.4,2.4,1,29.1,-52.3,239.5,2.4,2.4,2.4,1,29.1,-52.3,239.5,2.4,2.4,2.4,0or100,4,1,1,1,1,1,1,1,1,0,1,6,1,0,1,C,1,0,1,5,A,A,2446,6,2443,2449,"In the Hearst region of domain (II), two dykes contribute to
the 2446 ± 3 Ma upper-intercept age: one (LH87-11) corresponds to site 214 of Halls and Palmer (1990) and yielded N-polarity, and the other (208) corresponds to site 208 of Halls and Palmer (1990) and yielded R-polarity with statistics not passing our quality criteria. Evans and Halls (2010) consider the R polarity to be older than the N polarity. The N polarity age is inferred from one dike that yielded an age of 2446 ± 3 Ma.",Matachewan N dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,
Laurentia-Superior(East),Matachewan R dykes,new,,,C+,0,48,278,†,1000,207.6,-16.6,1000,0.1,-44.1,238.3,1.6,1.6,1.6,1,-16.6,-44.1,238.3,1.6,1.6,1.6,1,-16.6,-44.1,238.3,1.6,1.6,1.6,0or100,4,1,1,1,1,1,1,1,1,0,1,6,0,0,1,C,1,0,1,4,A,A,2460,27,2446,2473,"In the Hearst region of domain (II), two dykes contribute to
the 2446 ± 3 Ma upper-intercept age: one (LH87-11) corresponds to site 214 of Halls and Palmer (1990) and yielded N-polarity, and the other (208) corresponds to site 208 of Halls and Palmer (1990) and yielded R-polarity with statistics not passing our quality criteria. Evans and Halls (2010) consider the R polarity to be older than the N polarity. The N polarity age is inferred from one dike that yielded an age of 2446 ± 3 Ma.",Matachewan R dykes,"Evans,D.A.D., Halls,H.C.",2010,Precambrian Res.,183,474-489,Restoring Proterozoic deformation within the Superior craton,,
Laurentia-Wyoming,Elbow Creek dikes,new,,,C+,100,45.42,250.04,13,106,145.8,59.6,31.5,7.5,2,275.3,10.2,10.2,10.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,C,1,0,1,6,A,--,2480,8,2476,2484,Concordia upper intercept age of 2480 ± 4 Ma from isotope dilution thermal ionization mass spectrometry (ID-TIMS) on four baddeleyite fractions of one Elbow Creek dike near the Stillwater Mine. ,Elbow Creekk dikes,"Ding, J., Rogers, C., Sˆderlund, U., Evans, D. A. D., Gong, Z., Ernst, R. E., Chamberlain, K., & Kilian, T.
",2024,Nature Communications,15,10814,Paleomagnetic evidence for Neoarchean plate mobilism,"R7 currently has an assignment of 1 given that it passes a baked contact test, however the pole position overlaps with the 1780 Ma poles which is the expected time of nearby collisional orogenesis of the trans-Hudson orogeny",
