Terrane,ROCKNAME,RESULT#,COMPONENT,TESTS,TILT,SLAT,SLONG,B,N,DEC,INC,abs(I),KD,ED95,PLAT,PLONG,DP,DM,A95,%REV,DEMAGCODE,40,24,10,16,2,3,4,5,6,7,Q(7),Grade,nominal age,lomagage,himagage,REF/method,ROCKNAME,POLE AUTHORS,YEAR,JOURNAL,VOLUME,VPAGES,TITLE,,,,,,,,,REFNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Kaapvaal,Bushveld Complex,NEW,5-Zone mean,"F+,Rc",100,-24.8,29.1,96,1000.0,002.3,64.2,64.2,395.0,3.9,19.2,030.8,5.8,5.8,5.8,MIXED,4,1,1,1,1,1,1,1,1,1,0,6,A,2049,2041,2056,"2054.4±1.3 U-Pb zircon on Merensky Reef, 2044.1±2.9 uncorrected Ar/Ar biotite on UG-2 chromitite layer, Scoates+Friedman 08; Nomade+04",Bushveld Complex,"Letts,S., Torsvik,T.H., Webb,S.J., Ashwal,L.D.",2009,Geophys.J.Int.,179,850-872,Palaeomagnetism of the 2054 Ma Bushveld Complex (South Africa): implications for emplacement and cooling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Zimbabwe,MEAN Great Dyke and satellites,NEW,"weighted mean (by sites) from 3 results (2361, 3580, 7553)",C*+,,-18.7,30.4,37,231,217.0,-59.6,59.6,1000.0,0.1,21.6,059.9,3.4,3.4,3.4,0or100,3,1,1,1,1,1,1,1,1,0,1,6,A,2575,2574,2576,many U-Pb ages,MEAN Great Dyke and satellites,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Zimbabwe,Mashonaland Dolerites,8097,Supersedes and includes data from RESULTNO 3446,C+,,-18.0,32.0,29,239,292.0,49.0,49.0,36.0,5.0,08.0,338.0,5.0,5.0,5.0,38or62,4,1,1,1,1,1,1,1,1,1,0,6,A,1880,1875,1885,Hanson+11 Geology,Mashonaland Dolerites,"Bates, M.P., Jones, D.L.",1996,Geophys.J.Int.,126,513-524,"A palaeomagnetic investigation of the Mashonaland dolerites, north-east Zimbabwe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,MEAN Vredefort,NEW,"4 poles (Carporzen dykes and pseudotachylites, Hart basement, Salminen mean impactites)",I+,0,-26.9,27.5,41,1000.0,022.3,57.0,57.0,1000.0,3.8,22.1,046.0,4.0,4.0,4.0,0or100,4,1,1,1,1,1,1,1,1,0,0,5,A,2023,2019,2027,,MEAN Vredefort,LULEÅ WORKING GROUP MEAN,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Waterberg UBS-II fm,NEW,,C+,100,-24.5,28.0,10,84,274.2,51.4,51.4,33.0,8.5,-10.5,330.4,9.8,9.8,9.8,MIXED,4,0,1,1,1,1,1,1,1,1,0,5,B,1990,1930,2050,Stratigraphic bounds. Younger: 1880 Ma post-Waterberg sills (with inverse BCT). Older: late-stage Bushveld (WUBS-I),Waterberg UBS-II fm,"de Kock, M.O., Evans, D.A.D., Dorland, H.C., Beukes, N.J., Gutzmer, J.",2006,S.Afr.J.Geol.,109,157-182,"Paleomagnetism of the lower two unconformity-bounded sequences of the Waterberg Group, South Africa: Towards a better-defined apparent polar wander path for the Paleoproterozoic Kaapvaal Craton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Hartley large igneous province,NEW,includes data from resultno 9024, ,100,-27.2,23.4,8,57,308.2,30.6,30.6,14.6,15.4,22.7,328.6,11.7,11.7,11.7,0or100,5,1,1,1,1,1,1,0,1,0,0,4,B,1921,1915,1927,several U-Pb ages (range),Hartley large igneous province,"Semami, F., de Kock, M., Söderlund, U., Gumsley, A., da Silva, R., Beukes, N., Armstrong, R.",2016,GFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Sand River Dykes,438,,Rc,0,-22.4,30.0,6,41,318.0,72.5,72.5,123.8,6.0,02.5,009.2,9.6,10.7,10.1,17or83,3,0,1,1,1,1,1,0,1,1,0,4,B,1876,1808,1944,"1876 ± 68, f",Sand River Dykes,"Morgan, G.E.",1985,Geol.Soc.Amer.Bull.,96,663-675,"The paleomagnetism and cooling history of metamorphic and igneous rocks from the Limpopo Belt, southern Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Black Hill dykes -C,9423,,C+,0,-25.2,30.6,7,34,126.9,-58.7,58.7,24.2,11.5,09.4,352.0,14.7,14.7,14.7,43or57,4,1,1,1,1,1,1,1,1,1,0,6,A,1855,1835,1875,"1855 U-Pb, Olsson+16 GFF",Black Hill dykes -C,"Lubnina, N., Ernst, R., Klausen, M., SÃ¶derlund, U.",2010,Precambrian Res.,183,523-552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Post-Guperas Dykes,9491,,"C+,R-",0,-25.6,16.5,26,285,007.4,01.8,01.8,8.9,10.1,62.3,031.9,6.9,6.9,6.9,12or88,4,1,1,0,1,0,1,1,1,1,1,6,A,1105,1104,1106,"1105.5±0.4, 1105.5±0.5 U-Pb(z)",Post-Guperas Dykes,"Panzik, J.E., Evans, D.A.D., Kasbohm, J.J., Hanson, R., Gose, W., Desormeau, J.",2016,Geol.Soc.London Spec.Publ.,424,119-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari-Grunehogna,Borgmassivet and Ritscherflya intrusions,9075,,,,-71.9,357.2,34,1000,236.5,-03.6,03.6,27.9,4.8,08.3,054.5,3.3,3.3,3.3,0or100,4,1,1,1,1,1,1,0,1,0,1,5,B,1130,1120,1140,"1130 ± 12, 1135, g",Borgmass Intr + Ritch-Ahl,"Jones, D.L., Bates, M.P., Li , Z.X., Corner, B., Hodgkinson, G.",2003,Tectonophysics,375,247-260,"Paleomagnetic results from the ca. 1130 Ma Borgmassivet intrusions in the Ahlmannryggen region of Dronning Maud Land, Antarctica, and tectonic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalahari,Umkondo Grand Mean,9571,Combined result,"Rc,C+,C*+",100,-23,29,49,1000.0,185.7,-04.8,04.8,1000.0,0.1,-64.0,222.1,2.6,2.6,2.6,8or92,4,1,1,1,1,1,1,1,1,1,1,7,A,1110,1107,1113,"1112±0.5 to 1108±0.9 (Ubd,Uzr)",Umkondo Grand Mean,"Swanson-Hysell, N., Kilian, T.M., Hanson R.E.",2015,Geophys.J.Int.,203,2237-2247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
