tab	sites																						
site	location	specimens	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	criteria	description	software_packages	citations	method_codes
ns008	North Shore Volcanics	ns008a1 : ns008b1 : ns008c1 : ns008d1 : ns008h1	4.8	HEM	309.4	44.7	252.3	5	5	0	n	4.9841	100	47.60108	269.21345	Igneous : Intrusive	Sill	Diorite	DE-SPEC	lvpd; Leveaux porphyritic diorite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns009	North Shore Volcanics	ns009a1 : ns009c1 : ns009e1 : ns009f1	4.6	HEM	291.5	41.6	400.8	4	4	0	n	3.9925	0	47.59789	269.2085	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns009	North Shore Volcanics	ns009a1 : ns009c1 : ns009e1 : ns009f1	4.6	HEM	281.9	49	407	4	4	0	n	3.9926	100	47.59789	269.2085	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns010	North Shore Volcanics	ns010a1 : ns010b1 : ns010c1 : ns010d1 : ns010e1	4.6	HEM	292.3	31.7	280.5	5	5	0	n	4.9857	0	47.59411	269.20271	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns010	North Shore Volcanics	ns010a1 : ns010b1 : ns010c1 : ns010d1 : ns010e1	4.5	HEM	285.7	39.5	284	5	5	0	n	4.9859	100	47.59411	269.20271	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns011	North Shore Volcanics	ns011a1 : ns011b1 : ns011c1 : ns011d1 : ns011e1	4.9	HEM	290.1	27.2	249.6	5	5	0	n	4.984	100	47.58531	269.18479	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns011	North Shore Volcanics	ns011a1 : ns011b1 : ns011c1 : ns011d1 : ns011e1	4.9	HEM	293.8	19	249.8	5	5	0	n	4.984	0	47.58531	269.18479	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns012	North Shore Volcanics	ns012b1 : ns012c1 : ns012d2 : ns012e2	9.4	HEM	288.8	32.5	97.1	4	4	0	n	3.9691	0	47.54605	269.10639	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns012	North Shore Volcanics	ns012b1 : ns012c1 : ns012d2 : ns012e2	9.4	HEM	282.5	41.2	96.6	4	4	0	n	3.9689	100	47.54605	269.10639	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns013	North Shore Volcanics	ns013a1 : ns013c1 : ns013d3 : ns013e3	4.4	HEM	290.5	29.2	444.3	4	4	0	n	3.9932	0	47.55097	269.11716	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns013	North Shore Volcanics	ns013a1 : ns013c1 : ns013d3 : ns013e3	4.4	HEM	285.2	38.2	446.6	4	4	0	n	3.9933	100	47.55097	269.11716	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns014	North Shore Volcanics	ns014a1 : ns014b1 : ns014c1 : ns014d1 : ns014f1	2	HEM	277.7	23.9	1478.5	5	5	0	n	4.9973	0	47.46915	268.98572	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns014	North Shore Volcanics	ns014a1 : ns014b1 : ns014c1 : ns014d1 : ns014f1	2	HEM	272.8	31.7	1458.2	5	5	0	n	4.9973	100	47.46915	268.98572	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns015	North Shore Volcanics	ns015a1 : ns015b1 : ns015e2 : ns015g1	4.9	HEM	292	26.6	353.9	4	4	0	n	3.9915	100	47.46923	268.9863	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns015	North Shore Volcanics	ns015a1 : ns015b1 : ns015e2 : ns015g1	4.9	HEM	294.5	16.4	350.8	4	4	0	n	3.9914	0	47.46923	268.9863	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns016	North Shore Volcanics	ns016a1 : ns016b1 : ns016c1 : ns016e2 : ns016f1	9.3	MAG	291.4	50.6	72.7	5	4	1	n	4.9519	0	47.74304	269.6176	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC		pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns016	North Shore Volcanics	ns016a1 : ns016b1 : ns016c1 : ns016e2 : ns016f1	9.3	MAG	277	56.1	72.7	5	4	1	n	4.9518	100	47.74304	269.6176	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC		pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns017	North Shore Volcanics	ns017c1 : ns017d2 : ns017f1	7.8	MAG	28	55.5	253.5	3	3	0	n	2.9921	100	47.38919	268.86152	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns017	North Shore Volcanics	ns017a1 : ns017c1 : ns017d2 : ns017f1	5.7	MAG:HEM	30.5	55.3	261	4	4	0	n	3.9885	100	47.38919	268.86152	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns017	North Shore Volcanics	ns017c1 : ns017d2 : ns017f1	7.8	MAG	14.2	49.7	252.3	3	3	0	n	2.9921	0	47.38919	268.86152	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns017	North Shore Volcanics	ns017a1 : ns017c1 : ns017d2 : ns017f1	5.7	MAG:HEM	16.4	49.9	259.7	4	4	0	n	3.9884	0	47.38919	268.86152	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nslb; Undifferentiated North Shore Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns018	North Shore Volcanics	ns018a1 : ns018b1 : ns018c1 : ns018e2 : ns018g1	9.1	HEM	311.4	12.2	71.2	5	5	0	n	4.9439	100	47.77667	269.7907	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nrcb; Red Cliff Basalt; gabbro xenoliths.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns018	North Shore Volcanics	ns018a1 : ns018b1 : ns018c1 : ns018e2 : ns018g1	9.1	HEM	312.6	5.5	71	5	5	0	n	4.9437	0	47.77667	269.7907	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nrcb; Red Cliff Basalt; gabbro xenoliths.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns019	North Shore Volcanics	ns019a1 : ns019b1 : ns019c1 : ns019d2 : ns019e1	4.4	MAG	288.1	49.7	304.6	5	5	0	n	4.9869	0	47.74169	269.60941	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nbwb; Breakwater Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns019	North Shore Volcanics	ns019a1 : ns019b1 : ns019c1 : ns019d2 : ns019e1	4.4	MAG	273.9	54.8	302	5	5	0	n	4.9868	100	47.74169	269.60941	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nbwb; Breakwater Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns020	North Shore Volcanics	ns020a1 : ns020b1 : ns020c1 : ns020d1 : ns020e2	6.1	HEM	303.8	7.2	160.3	5	5	0	n	4.9751	0	47.77857	269.80928	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nrcb; Red Cliff Basalt; gabbro xenoliths.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns020	North Shore Volcanics	ns020a1 : ns020b1 : ns020c1 : ns020d1 : ns020e2	6	HEM	302.3	12.7	161.5	5	5	0	n	4.9752	100	47.77857	269.80928	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nrcb; Red Cliff Basalt; gabbro xenoliths.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns021	North Shore Volcanics	ns021a1 : ns021b1 : ns021c1 : ns021d2 : ns021e1	2.5	HEM	311.6	21	903	5	5	0	n	4.9956	0	47.77705	269.7795	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	ndtr; Devil's Track Rhyolite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns021	North Shore Volcanics	ns021a1 : ns021b1 : ns021c1 : ns021d2 : ns021e1	2.5	HEM	308.1	27.5	936	5	5	0	n	4.9957	100	47.77705	269.7795	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	ndtr; Devil's Track Rhyolite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns022	North Shore Volcanics	ns022a1 : ns022b1 : ns022c1 : ns022e1 : ns022f1	4.9	MAG	301.3	38.1	255.9	5	4	1	n	4.9863	100	47.79647	269.87137	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nnfi; Undifferentiated felsic-intermediate lavas.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns022	North Shore Volcanics	ns022a1 : ns022b1 : ns022c1 : ns022e1 : ns022f1	5	MAG	307.1	32.5	254.3	5	4	1	n	4.9862	0	47.79647	269.87137	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nnfi; Undifferentiated felsic-intermediate lavas.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns023	North Shore Volcanics	ns023a1 : ns023b1 : ns023c1 : ns023e1 : ns023g1	2.4	HEM	303.1	19.6	997.3	5	5	0	n	4.996	100	47.77633	269.79895	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nrcb; Red Cliff Basalt; gabbro xenoliths.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns023	North Shore Volcanics	ns023a1 : ns023b1 : ns023c1 : ns023e1 : ns023g1	2.4	HEM	305.6	14	1001.5	5	5	0	n	4.996	0	47.77633	269.79895	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nrcb; Red Cliff Basalt; gabbro xenoliths.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns024	North Shore Volcanics	ns024b1 : ns024c1 : ns024e2 : ns024f2	4.3	HEM	120.2	-75.5	467	4	4	0	n	3.9936	100	47.92843	270.27459	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ngbb; Portage River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns024	North Shore Volcanics	ns024b1 : ns024c1 : ns024e2 : ns024f2	4.3	HEM	147.1	-69.7	462.2	4	4	0	n	3.9935	0	47.92843	270.27459	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ngbb; Portage River Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns025	North Shore Volcanics	ns025a1 : ns025b1 : ns025d1 : ns025e1	14.2	MAG	131.6	-64.8	42.6	4	4	0	n	3.9296	0	47.77634	269.79893	Igneous : Intrusive	Sill	Diabase	DE-SPEC	mldb; Monker River Diabase.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns025	North Shore Volcanics	ns025a1 : ns025b1 : ns025d1 : ns025e1	14.2	MAG	110.8	-70.1	42.6	4	4	0	r	3.9295	100	47.77634	269.79893	Igneous : Intrusive	Sill	Diabase	DE-SPEC	mldb; Monker River Diabase.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns025	North Shore Volcanics	ns025a1 : ns025b1 : ns025d1 : ns025e1 : ns025g1	10.6	MAG:HEM	133.9	-64	53.3	5	5	0	n	4.925	0	47.77634	269.79893	Igneous : Intrusive	Sill	Diabase	DE-SPEC	mldb; Monker River Diabase.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns025	North Shore Volcanics	ns025a1 : ns025b1 : ns025d1 : ns025e1 : ns025g1	10.6	MAG:HEM	114.3	-69.7	53.3	5	5	0	n	4.9249	100	47.77634	269.79893	Igneous : Intrusive	Sill	Diabase	DE-SPEC	mldb; Monker River Diabase.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns026	North Shore Volcanics	ns026a1 : ns026b2 : ns026c2 : ns026d1 : ns026e2	3.4	MAG	140.3	-56.6	521.9	5	5	0	r	4.9923	0	47.91243	270.24872	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ndba; Deronda Bay Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns026	North Shore Volcanics	ns026a1 : ns026b2 : ns026c2 : ns026d1 : ns026e2	3.4	MAG	126.2	-62.1	518.8	5	5	0	r	4.9923	100	47.91243	270.24872	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ndba; Deronda Bay Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns027	North Shore Volcanics	ns027a1 : ns027b1 : ns027c1 : ns027d2 : ns027e2	3.5	MAG	303.5	43.6	466.1	5	5	0	r	4.9914	0	47.90276	270.22183	Igneous : Intrusive	Sill	Diabase	DE-SPEC	bhrd; Brule Lake/Hovland Gabbro.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns027	North Shore Volcanics	ns027a1 : ns027b1 : ns027c1 : ns027d2 : ns027e2	3.6	MAG	293.9	46.8	455.8	5	5	0	n	4.9912	100	47.90276	270.22183	Igneous : Intrusive	Sill	Diabase	DE-SPEC	bhrd; Brule Lake/Hovland Gabbro.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns028	North Shore Volcanics	ns028a1 : ns028b1 : ns028c1 : ns028e2 : ns028f2	3.4	MAG	288.6	32.7	501.3	5	5	0	n	4.992	100	47.76711	269.66823	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ncvb; Croftville Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns028	North Shore Volcanics	ns028a1 : ns028b1 : ns028c1 : ns028e2 : ns028f2	3.4	MAG	295.9	26.7	505.9	5	5	0	n	4.9921	0	47.76711	269.66823	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ncvb; Croftville Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns030	North Shore Volcanics	ns030b1 : ns030c1 : ns030d2	6	MAG	295.3	29.6	422	3	3	0	n	2.9953	0	47.79897	269.89441	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nmll; Marr Island Lavas.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns030	North Shore Volcanics	ns030a1 : ns030b1 : ns030c1 : ns030d2 : ns030f2	3.9	MAG:HEM	289.2	33.9	394.3	5	5	0	n	4.9899	100	47.79897	269.89441	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nmll; Marr Island Lavas.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns030	North Shore Volcanics	ns030b1 : ns030c1 : ns030d2	6	MAG	289.6	33.4	424.5	3	3	0	n	2.9953	100	47.79897	269.89441	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nmll; Marr Island Lavas.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns030	North Shore Volcanics	ns030a1 : ns030b1 : ns030c1 : ns030d2 : ns030f2	3.9	MAG:HEM	295.1	30.2	395.1	5	5	0	n	4.9899	0	47.79897	269.89441	Igneous : Extrusive	Lava Flow	Rhyolite	DE-SPEC	nmll; Marr Island Lavas.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns031	North Shore Volcanics	ns031a1 : ns031b1 : ns031c1 : ns031d2 : ns031f1	2.1	MAG	295.4	27	1314.5	5	5	0	n	4.997	0	47.76888	269.66913	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ncvb; Croftville Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns031	North Shore Volcanics	ns031a1 : ns031b1 : ns031c1 : ns031d2 : ns031f1	2.1	MAG	288	32.9	1287.4	5	5	0	n	4.9969	100	47.76888	269.66913	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	ncvb; Croftville Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns032	North Shore Volcanics	ns032a1 : ns032b1 : ns032c1	6	MAG	290.3	32	424.6	3	3	0	n	2.9953	0	47.73193	269.55709	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns032	North Shore Volcanics	ns032a1 : ns032b1 : ns032c1 : ns032e1 : ns032f1	4.5	MAG:HEM	293.4	33	285.9	5	5	0	n	4.986	0	47.73193	269.55709	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns032	North Shore Volcanics	ns032a1 : ns032b1 : ns032c1 : ns032e1 : ns032f1	4.5	MAG:HEM	286	39.7	284.8	5	5	0	n	4.986	100	47.73193	269.55709	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns032	North Shore Volcanics	ns032a1 : ns032b1 : ns032c1	5.9	MAG	283	38.2	431.4	3	3	0	n	2.9954	100	47.73193	269.55709	Igneous : Extrusive	Lava Flow	Andesite	DE-SPEC	ngha; Good Harbor Andesite.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns034	North Shore Volcanics	ns034a1 : ns034b1 : ns034c1 : ns034d1 : ns034g1	4.8	HEM	299.5	42.2	260.3	5	5	0	n	4.9846	0	47.01668	268.33971	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns034	North Shore Volcanics	ns034a1 : ns034b1 : ns034c1 : ns034d1 : ns034g1	4.8	HEM	299.7	54.2	259.8	5	5	0	n	4.9846	100	47.01668	268.33971	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns035	North Shore Volcanics	ns035a1 : ns035b1 : ns035c2 : ns035d2 : ns035e2	1.6	MAG	295	44	2377	5	5	0	n	4.9983	0	47.01823	268.34011	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns035	North Shore Volcanics	ns035a1 : ns035b1 : ns035c2 : ns035d2 : ns035e2	1.6	MAG	293.8	55.9	2377.3	5	5	0	n	4.9983	100	47.01823	268.34011	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns036	North Shore Volcanics	ns036a1 : ns036b1 : ns036d1 : ns036f1	7	HEM	297	54.6	193.5	4	3	1	n	3.9871	100	47.01631	268.33969	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-TILT
ns036	North Shore Volcanics	ns036a1 : ns036b1 : ns036d1 : ns036f1	7	HEM	297.5	42.6	197	4	3	1	n	3.9873	0	47.01631	268.33969	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM-LP : DA-DIR-GEO
ns037	North Shore Volcanics	ns037a1 : ns037b1 : ns037c2 : ns037f2 : ns037g1	3.2	MAG	294.5	41.3	590.3	5	5	0	n	4.9932	0	47.02017	268.34019	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns037	North Shore Volcanics	ns037a1 : ns037b1 : ns037c2 : ns037f2 : ns037g1	3.2	MAG	293.4	53.3	577.7	5	5	0	n	4.9931	100	47.02017	268.34019	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nthb; Two Harbors Basalt.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns038	North Shore Volcanics	ns038a1 : ns038d1 : ns038f1	13.9	MAG	286.9	17.8	79.8	3	3	0	n	2.9749	0	46.95412	268.22677	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlmb; Larsmont Ophitic Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-GEO
ns038	North Shore Volcanics	ns038a1 : ns038d1 : ns038f1	13.9	MAG	285.8	29.5	79.8	3	3	0	n	2.9749	100	46.95412	268.22677	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlmb; Larsmont Ophitic Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
ns038	North Shore Volcanics	ns038a1 : ns038b1 : ns038c1 : ns038d1 : ns038f1	7.5	MAG:HEM	286	29.2	104.6	5	5	0	n	4.9618	100	46.95412	268.22677	Igneous : Extrusive	Lava Flow	Basalt	DE-SPEC	nlmb; Larsmont Ophitic Basalts.	pmagpy-2.03	This study	DE-FM : DA-DIR-TILT
