site,comp,tilt,dec,inc,alpha95,k,n,lat,lon,vgp_lat,vgp_lon,vgp_dp,vgp_dm
SLB22,hem,0,288.4,36.0,3.3,278,8,47.5279,-90.9312,26.9,179.8,2.2,3.8
SLB22,hem,100,281.0,51.1,3.3,280,8,47.5279,-90.9312,29.9,194.9,3.0,4.5
SLB22,mag,0,287.2,34.6,3.2,296,8,47.5279,-90.9312,25.4,180.0,2.1,3.7
SLB22,mag,100,279.8,49.6,3.2,295,8,47.5279,-90.9312,28.2,194.5,2.8,4.3
SLB23,hem,0,293.2,33.9,3.4,320,7,47.5278,-90.9312,29.1,175.1,2.2,3.9
SLB23,hem,100,287.6,49.7,3.4,321,7,47.5278,-90.9312,33.4,189.5,3.0,4.5
SLB23,mag,0,294.3,33.4,3.2,364,7,47.5278,-90.9312,29.7,174.0,2.1,3.6
SLB23,mag,100,289.0,49.4,3.2,361,7,47.5278,-90.9312,34.2,188.3,2.8,4.2
SLB24,hem,0,287.7,29.4,4.1,161,9,47.5276,-90.9313,23.4,177.0,2.5,4.5
SLB24,hem,100,281.8,44.6,4.1,161,9,47.5276,-90.9313,26.7,189.6,3.3,5.2
SLB24,mag,0,287.9,27.5,3.5,222,9,47.5276,-90.9313,22.7,176.0,2.1,3.8
SLB24,mag,100,282.5,42.7,3.5,222,9,47.5276,-90.9313,26.2,187.9,2.7,4.3
SLB25,hem,0,286.4,28.8,3.7,174,10,47.5272,-90.9311,22.3,177.7,2.2,4.1
SLB25,hem,100,280.4,43.7,3.7,174,10,47.5272,-90.9311,25.3,190.0,2.9,4.6
SLB25,mag,0,283.7,27.4,4.0,148,10,47.5272,-90.9311,19.9,179.1,2.4,4.4
SLB25,mag,100,277.5,42.0,4.0,148,10,47.5272,-90.9311,22.5,190.9,3.0,4.9
SLB26,hem,0,292.1,33.6,5.0,124,8,47.5265,-90.9309,28.3,175.8,3.2,5.7
SLB26,hem,100,286.2,49.3,5.0,124,8,47.5265,-90.9309,32.2,190.1,4.4,6.6
SLB26,mag,0,291.9,35.5,4.9,128,8,47.5265,-90.9309,29.0,177.0,3.3,5.7
SLB26,mag,100,285.5,51.2,4.9,127,8,47.5265,-90.9309,32.9,192.1,4.5,6.6
SLB27,hem,0,293.6,33.9,4.3,171,8,47.5263,-90.9306,29.4,174.8,2.8,4.9
SLB27,hem,100,288.1,49.8,4.2,171,8,47.5263,-90.9306,33.8,189.2,3.7,5.6
SLB27,mag,0,293.4,34.7,3.8,209,8,47.5263,-90.9306,29.7,175.4,2.5,4.4
SLB27,mag,100,287.6,50.6,3.8,209,8,47.5263,-90.9306,33.9,190.2,3.4,5.1
SLB28,hem,0,288.5,33.3,4.1,217,7,47.5259,-90.9289,25.7,178.3,2.6,4.7
