tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	pole_reversed_perc	description	continent_ocean	country	state_province	terranes
Nain Anorthosite	Region	Nain anorthosite ca. 1305 Ma pole	a	g	1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21	LP-DIR-T:DE-BLANKET:DE-FM:DE-VGP	10.1139/e78-058	Intrusive	Anorthosite	56.44	56.54	298.26	298.41	1305	1283	1328	Ma	0	11.8	206.8	2.5	162.9	21	24	Paleomagnetic pole for the Nain anorthosite (Nain Plutonic Suite), a massif-type anorthosite complex of coastal Labrador that lies north of the Grenville Front and is unaffected by Grenvillian metamorphism (Murthy, 1978). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles from all 21 sites, combining the dark facies (olivine-bearing anorthosite; Palungotok Island and the region south of Nain) and the pale facies (hypersthene-bearing anorthosite; Paul Island). The characteristic remanence, carried by magnetite with subordinate hematite, was isolated by thermal demagnetization to stable end points; five sites carry the antipodal easterly (reversed) direction, recording a magnetic reversal consistent with a primary origin. The pole age is the Sm-Nd age of the Kiglapait layered intrusion within the complex (DePaolo, 1985); the host anorthosite yields an older Rb-Sr age (Barton, 1974). Original Murthy (1978) site numbers are retained in the site descriptions.	North America	Canada	Newfoundland and Labrador	Laurentia
Nain Anorthosite dark facies	Region	Nain anorthosite dark-facies pole	a	g	1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18	LP-DIR-T:DE-BLANKET:DE-FM:DE-VGP	10.1139/e78-058	Intrusive	Anorthosite	56.44	56.5	298.26	298.4	1305	1283	1328	Ma	0	11.3	206.0	2.4	216.5	18	28	Dark-facies anorthosite (olivine-bearing) of the Nain complex, sampled on Palungotok Island and in the region south of Nain (Murthy, 1978, sites 1-18). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles; both normal (westerly) and reversed (easterly) polarities are present.	North America	Canada	Newfoundland and Labrador	Laurentia
Nain Anorthosite pale facies	Region	Nain anorthosite pale-facies pole	a	g	19:20:21	LP-DIR-T:DE-BLANKET:DE-FM:DE-VGP	10.1139/e78-058	Intrusive	Anorthosite	56.54	56.54	298.41	298.41	1305	1283	1328	Ma	0	14.9	212.1	14.0	79.0	3	0	Pale-facies anorthosite (hypersthene-bearing) of the Nain complex, sampled on Paul Island (Murthy, 1978, sites 19-21). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles. Murthy (1978) found the pale-facies mean direction to differ significantly from the dark facies.	North America	Canada	Newfoundland and Labrador	Laurentia
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	description	vgp_lat	vgp_lon	vgp_dp	vgp_dm	age_low	age_high
12	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	280.9	10.6	11.8	42.7	5	n	Dark facies	10.5	202.1	6.1	12.0	1283	1328
13	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	276.6	17.4	5.8	276.0	5	n	Dark facies	11.1	207.7	3.1	6.0	1283	1328
14	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	287.1	13.3	12.0	59.8	4	n	Dark facies	15.0	197.6	6.2	12.2	1283	1328
15	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	265.0	13.2	16.1	33.5	4	n	Dark facies	2.8	216.1	8.4	16.4	1283	1328
16	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	100.5	-9.1	9.5	95.0	4	r	Dark facies	-9.6	22.0	4.8	9.6	1283	1328
17	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	99.5	-19.8	6.5	199.0	4	r	Dark facies	-13.7	26.0	3.6	6.8	1283	1328
18	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.5	298.26	1305	Ma	0	94.4	-14.1	11.2	47.7	5	r	Dark facies	-8.4	28.6	5.9	11.5	1283	1328
19	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.54	298.41	1305	Ma	0	285.7	28.4	11.5	64.8	4	n	Pale facies	21.2	203.9	6.9	12.6	1283	1328
20	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-076	Intrusive	Pluton	Anorthosite	56.54	298.41	1305	Ma	0	267.3	26.4	16.5	56.6	3	n	Pale facies	10.1	218.4	9.7	17.9	1283	1328
21	Nain Anorthosite	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1139/e78-058	Intrusive	Pluton	Anorthosite	56.54	298.41	1305	Ma	0	273.1	26.1	28.2	20.2	3	n	Pale facies	13.1	213.6	16.5	30.5	1283	1328
