tab 	sites
N	age	age_high	age_low	age_sigma	age_unit	citations	description	dip	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	n	paleolatitude	result_quality	result_type	site	strike	vgp_dm	vgp_dp	vgp_lat	vgp_lat_rev	vgp_lon	vgp_lon_rev
11	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		10.9	60.4	-42.6	27.0	8	0	Igneous	Pluton	41.254	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.565	DE-FM	8		g	i	La44		13.453927892525401	8.30312732739784	3.5509305819415773		22.237651025282755	
13	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		24.0	53.8	-47.0	8.0	5	0	Igneous	Pluton	40.991	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.59	DE-FM	5		g	i	Sg1		31.01382709798786	20.038697317997624	4.756635794660964		29.05831191638812	
8	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		18.5	215.0	44.2	26.0	4	0	Igneous	Pluton	40.96	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.64	DE-FM	4		g	i	Sg3		23.20726663747632	14.556141210349224	-15.64466405688632		222.2501106719664	
14	1430	1445	1415		Ma	10.1029/94JB00580	ShGr		6.2	238.0	47.3	43.0	14	0	Igneous	Pluton	40.951	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.655	DE-FM	14		g	i	Sg4		8.038230074245423	5.210737316653513	-2.2725514369696356		206.39159583359762	
23	1430	1445	1415		Ma	10.1029/94JB00580	ShGr			87.3	-51.3		1	0	Igneous	Pluton	40.901	Granite:Quartz Monzonite	Rocky Mountain intrusions	254.723	DE-FM	1		g	i	Sg5				-18.448672182206998		11.431075460702331	
6	1430	1445	1415		Ma	10.1029/98JB01350	Pdb		8.1	25.3	-44.0	69.0	6	0	Igneous	Volcanic Dike	37.5456	Diabase	Rocky Mountain intrusions	252.194	DE-FM	6		g	i	ELlBlk		10.140163663563682	6.34709377307761	22.36710381018163		47.60196353571196	
8	1430	1445	1415		Ma	10.1029/98JB01350	Pdb		4.8	33.2	-48.0	408.0	4	0	Igneous	Volcanic Dike	37.5447	Diabase	Rocky Mountain intrusions	252.197	DE-FM	4		g	i	ELA14		6.271419856644324	4.096948647740908	16.51003180869065		42.243771665709836	
4	1430	1445	1415		Ma	10.1029/98JB01350	Pdb		7.6	35.3	-38.5	146.0	4	0	Igneous	Volcanic Dike	37.5444	Diabase	Rocky Mountain intrusions	252.198	DE-FM	4		g	i	ELA3		9.023629834430999	5.356966801896923	22.0915322189347		36.78312775616367	
10	1430	1445	1415		Ma	10.1029/98JB01350	Pdb		5.9	23.2	-52.3	70.0	10	0	Igneous	Volcanic Dike	37.5547	Diabase	Rocky Mountain intrusions	252.198	DE-FM	10		g	i	ELA4		8.100651786940581	5.561064353666406	16.303735828175633		52.03937651092908	
8	1430	1445	1415		Ma	10.1029/98JB01350	Pgn/Pdb		27.5	41.7	-42.8	12.0	4	0	Igneous	Volcanic Dike	37.5619	Diabase:Gneiss	Rocky Mountain intrusions	252.2	DE-FM	4		g	i	ELA6		34.01107201390603	21.031873082456404	16.316757505520226		33.22369626709431	
8	1430	1445	1415		Ma	10.1029/98JB01350	Pgnmz		16.4	34.7	-54.2	15.0	7	0	Metamorphic	Baked Contact	37.565	Gneiss	Rocky Mountain intrusions	252.201	DE-FM	7		g	i	ELA7		23.040808058516298	16.185330365530177	10.848786608513159		43.75300804888473	
10	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		12.2	25.1	-40.4	31.0	6	0	Igneous	Pluton	37.5661	Gabbro	Rocky Mountain intrusions	252.201	DE-FM	6		g	i	ELA9		14.741058488113302	8.905688743851528	24.94598585318162		46.702263297143055	
6	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		5.3	33.3	-46.5	212.0	5	0	Igneous	Pluton	37.5672	Gabbro	Rocky Mountain intrusions	252.202	DE-FM	5		g	i	ELAI0		6.811832830593939	4.377459104901646	17.57232629117787		41.57144935487918	
12	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		2.0	29.0	-40.8	457.0	12	0	Igneous	Pluton	37.5678	Gabbro	Rocky Mountain intrusions	252.202	DE-FM	12		g	i	ELAll		2.4257466562779233	1.471061710110881	23.25993457060294		43.22217399487906	
12	1430	1445	1415		Ma	10.1029/98JB01350	Pdb		5.6	31.1	-33.0	62.0	10	0	Igneous	Pluton	37.5475	Gabbro	Rocky Mountain intrusions	252.198	DE-FM	10		g	i	ELA14		6.350830172272872	3.601164631879596	27.225651853818203		38.659761354254435	
10	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		12.2	357.4	-47.3	34.0	6	0	Igneous	Pluton	37.5644	Gabbro	Rocky Mountain intrusions	252.198	DE-FM	6		g	i	ELBI		15.817162404160346	10.253386332769818	23.939796838787743		74.69909320583348	
10	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		12.2	31.9	-44.6	17.0	10	0	Igneous	Pluton	37.5661	Gabbro	Rocky Mountain intrusions	252.19	DE-FM	10		g	i	ELB2		15.36767933839514	9.678916731464634	19.508090906393317		42.00315588312046	
12	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		13.5	33.6	-48.3	14.0	10	0	Igneous	Pluton	37.5667	Gabbro	Rocky Mountain intrusions	252.191	DE-FM	10		g	i	ELB3		17.69742677507786	11.59995979478676	16.103360863554983		42.03859816221667	
8	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		7.1	35.1	-41.1	75.0	7	0	Igneous	Pluton	37.5714	Gabbro	Rocky Mountain intrusions	252.189	DE-FM	7		g	i	ELB5		8.636131871609422	5.252308007311836	20.524108564528063		37.9412122593212	
12	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		4.4	32.9	-42.3	100.0	12	0	Igneous	Pluton	37.5814	Gabbro	Rocky Mountain intrusions	252.198	DE-FM	12		g	i	ELB6		5.414833578715666	3.3318662142257627	20.676130411324714		40.297467548363066	
12	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		8.5	28.5	-53.8	32.0	11	0	Igneous	Pluton	37.5744	Gabbro	Rocky Mountain intrusions	252.198	DE-FM	11		g	i	ELB7		11.883622994385107	8.307087968981088	13.364269453979617		48.30931525093234	
10	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		17.8	28.9	-54.6	13.0	7	0	Igneous	Pluton	37.5739	Gabbro	Rocky Mountain intrusions	252.199	DE-FM	7		g	i	ELB8		25.130942089822703	17.740568829270295	12.509503693040525		48.31613528678212	
9	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		8.4	23.1	-46.6	93.0	9	0	Igneous	Pluton	37.5847	Gabbro	Rocky Mountain intrusions	252.2	DE-FM	9		g	i	ELB9		10.807786419790093	6.952871862845185	21.056655921998665		50.38215724328549	
9	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		4.1	25.9	-38.4	157.0	9	0	Igneous	Pluton	37.5803	Gabbro	Rocky Mountain intrusions	252.199	DE-FM	9		g	i	ELBlO		4.863642067463043	2.8847578244385597	25.98044476379121		45.34446753297115	
12	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		5.0	35.6	-45.8	76.0	12	0	Igneous	Pluton	37.5733	Gabbro	Rocky Mountain intrusions	252.2	DE-FM	12		g	i	ELBll		6.378207985722033	4.068153710912833	17.115409345344574		39.401213332842175	
13	1430	1445	1415		Ma	10.1029/98JB01350	Pgb		5.3	21.6	-50.4	69.0	12	0	Igneous	Pluton	37.5683	Gabbro	Rocky Mountain intrusions	252.199	DE-FM	12		g	i	ELB12		7.115972438289675	4.777081485141347	18.381340215521792		52.80939122493034	
10	1430	1445	1415		Ma	10.1029/94JB00580	An	50.0	5.2	35.6	-8.8	215.0	5	100	Igneous	Pluton	41.8	Anorthosite	Rocky Mountain intrusions	254.67	DE-FM	5	-4.4261022214668175	g	i	LI	110.0	5.2462488695934635	2.646454538626028	33.56625630346659	-33.56625630346659	30.52022180781017	210.52022180781012
10	1430	1445	1415		Ma	10.1029/94JB00580	An	50.0	7.2	345.0	-52.2	46.0	10	100	Igneous	Pluton	41.782	Anorthosite	Rocky Mountain intrusions	254.675	DE-FM	10	-32.80567094663939	g	i	L2	0.0	9.873754006840358	6.770209596360838	14.1468096684636	-14.1468096684636	87.6393377761625	267.6393377761625
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy	23.0	7.4	78.4	-52.4	51.0	7	100	Igneous	Pluton	41.708	Syenite	Rocky Mountain intrusions	254.483	DE-FM	7	-32.99418189278502	g	i	L3	240.0	10.172286528290853	6.9915819738951095	-13.674529332717233	13.674529332717233	16.75067434927635	196.75067434927632
8	1430	1445	1415		Ma	10.1029/94JB00580	Sy		6.3	46.1	-40.4	93.0	7	100	Igneous	Pluton	41.701	Syenite	Rocky Mountain intrusions	254.499	DE-FM	7	-23.051370750341487	g	i	Lal		7.6121859405831	4.5988392693659526	12.46803041441386	-12.46803041441386	31.730956101515496	211.73095610151552
11	1430	1445	1415		Ma	10.1029/94JB00580	Sy	30.0	3.5	80.6	-51.2	174.0	11	100	Igneous	Pluton	41.709	Syenite	Rocky Mountain intrusions	254.511	DE-FM	11	-31.876430451869254	g	i	La2	246.0	4.743286646585237	3.2141097445248303	-14.348702221901139	14.348702221901139	14.655447801432802	194.65544780143279
7	1430	1445	1415		Ma	10.1029/94JB00580	Sy	30.0	4.0	81.8	-51.2	229.0	7	100	Igneous	Pluton	41.709	Syenite	Rocky Mountain intrusions	254.525	DE-FM	7	-31.876430451869254	g	i	La3	246.0	5.420899024668842	3.673268279456949	-15.126050138697092	15.126050138697092	13.988138335173073	193.988138335173
6	1430	1445	1415		Ma	10.1029/94JB00580	Sy	50.0	6.3	71.4	-23.2	116.0	6	100	Igneous	Pluton	41.718	Syenite	Rocky Mountain intrusions	254.538	DE-FM	6	-12.095554646050706	g	i	La4	208.0	6.702099864800974	3.564931952203589	5.35645826574661	-5.35645826574661	5.979378420425227	185.97937842042518
7	1430	1445	1415		Ma	10.1029/94JB00580	An	35.0	15.3	51.2	-73.5	26.0	5	100	Igneous	Pluton	41.78	Anorthosite	Rocky Mountain intrusions	254.65	DE-FM	5	-59.35635488340527	g	i	La5	280.0	27.457541690745604	24.63779724506645	-19.57661282819904	19.57661282819902	49.71455381745978	229.71455381745977
8	1430	1445	1415		Ma	10.1029/94JB00580	An	35.0	11.5	77.6	-63.1	29.0	7	100	Igneous	Pluton	41.78	Anorthosite	Rocky Mountain intrusions	254.652	DE-FM	7	-44.58314430131658	g	i	La6	280.0	18.103550631628725	14.249501977041076	-20.709852161582322	20.709852161582322	26.606886069015417	206.6068860690154
