tab delimited	locations
location	location_type	result_name	result_type	result_quality	sites	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	state_province	description	continent_ocean	country	terranes
Laramie Anorthosite Complex	Region	Laramie anorthosite complex ca. 1435 Ma pole	a	g	LI:L2:L3:Lal:La2:La3:La4:La5:La6:La7:La8:La9:La11:La14:La16:La17:La18:La19:La25:La26:La27:La28:La29:La30:La34:La35:La36:La37	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	10.1029/94JB00580	Intrusive	Anorthosite:Syenite:Troctolite	41.392	41.8	254.483	254.675	1430	1415	1445	Ma	0	-8.1	217.1	3.3	67.7	28	Wyoming	Paleomagnetic pole for the Laramie anorthosite complex, a Mesoproterozoic massif-type intrusion (anorthosite, mafic anorthosite, troctolite and associated monzosyenite) of the southern Laramie Range, Wyoming and Colorado (Harlan et al., 1994). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles. A fold test using the igneous layering is negative at the 99% level, indicating the magnetization postdates doming, so the directions are retained in geographic coordinates; three sites carry dual (antipodal) polarity. The characteristic remanence resides in single- to pseudo-single-domain low-Ti titanomagnetite and was isolated by alternating-field and thermal demagnetization with principal-component analysis. The complex is bracketed by U-Pb zircon ages of ca. 1435-1440 Ma on associated plutons.	North America	United States of America	Laurentia
Sherman Granite	Region	Sherman Granite ca. 1420 Ma pole	a	g	La24:La31:La33:La41:La42:La43:La44:Sg1:Sg3:Sg4:Sg5	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP	10.1029/94JB00580	Intrusive	Granite:Quartz Monzonite	40.901	41.849	254.563	254.723	1430	1415	1445	Ma	0	-1.1	207.6	9.9	22.3	11	Wyoming	Paleomagnetic pole for the Sherman Granite, a composite Mesoproterozoic batholith (granite to quartz monzonite) of the southern Laramie Range, Wyoming and Colorado (Harlan et al., 1994). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles; the sites are in largely undeformed intrusions and carry dual (antipodal) polarity. The magnetite-borne characteristic remanence was isolated by alternating-field and thermal demagnetization with principal-component analysis. U-Pb zircon dates the granite at 1431 +/- 6 Ma; an Ar-Ar hornblende plateau age of 1421 +/- 6 Ma (2 sigma) records cooling, giving a magnetization age of about 1415-1430 Ma.	North America	United States of America	Laurentia
Electra Lake Gabbro	Region	Electra Lake Gabbro ca. 1433 Ma pole	a	g	ELlBlk:ELA1:ELA3:ELA4:ELA9:ELAI0:ELAll:ELA14:ELBI:ELB2:ELB3:ELB5:ELB6:ELB7:ELB8:ELB9:ELBlO:ELBll:ELB12	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM:DE-VGP	10.1029/98JB01350	Intrusive	Gabbro:Diabase	37.544	37.585	252.189	252.202	1430	1415	1445	Ma	0	-20.2	225.7	3.7	83.7	19	Colorado	Paleomagnetic pole for the Electra Lake Gabbro, a small Mesoproterozoic ophitic-gabbro pluton (with associated diabase dikes) intruding Paleoproterozoic gneisses of the Needle Mountains, southwestern Colorado (Harlan & Geissman, 1998). The pole is the Fisher mean of the in-situ site virtual geomagnetic poles; the unit carries a single polarity. The characteristic remanence resides in single- to pseudo-single-domain magnetite and was isolated by alternating-field and thermal demagnetization with principal-component and great-circle analysis. A baked-contact test was attempted but proved inconclusive. U-Pb zircon dates the gabbro at 1435 +/- 2 Ma, with an indistinguishable Ar-Ar biotite plateau age of 1431 +/- 3 Ma (2 sigma). Directions are reported in geographic coordinates to match the compilation grand mean; Harlan & Geissman (1998) preferred a small tilt correction for post-Cambrian tilting.	North America	United States of America	Laurentia
Mean Rocky Mountain intrusions	Region	Mean Rocky Mountain intrusions ca. 1430 Ma pole	a	g	LI:L2:L3:Lal:La2:La3:La4:La5:La6:La7:La8:La9:La11:La14:La15:La16:La17:La18:La19:La25:La26:La27:La28:La29:La30:La34:La35:La36:La37:La24:La31:La33:La40:La41:La42:La43:La44:Sg1:Sg3:Sg4:Sg5:ELlBlk:ELA1:ELA3:ELA4:ELA6:ELA7:ELA9:ELAI0:ELAll:ELA14:ELBI:ELB2:ELB3:ELB5:ELB6:ELB7:ELB8:ELB9:ELBlO:ELBll:ELB12	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM:DE-VGP	10.1029/94JB00580:10.1029/98JB01350	Intrusive	Anorthosite:Syenite:Troctolite:Granite:Quartz Monzonite:Gabbro:Diabase:Gneiss	37.544	41.849	252.189	254.723	1430	1415	1445	Ma	0	-10.4	217.9	5.9	10.3	62		Grand-mean paleomagnetic pole for the ca. 1430 Ma Rocky Mountain intrusions of Colorado and Wyoming, combining all site virtual geomagnetic poles of the Laramie anorthosite complex, the Sherman Granite (Harlan et al., 1994) and the Electra Lake Gabbro (Harlan & Geissman, 1998). The pole is the Fisher mean of all site VGPs in geographic (in-situ) coordinates, following the treatment of these units in the Laurentia apparent-polar-wander compilation. The three units yield indistinguishable ca. 1435-1415 Ma U-Pb zircon and Ar-Ar ages.	North America	United States of America	Laurentia
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	description	vgp_lat	vgp_lon	vgp_dp	vgp_dm
La17	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.719	254.542	1430	1415	1445	Ma	0	41.1	-48.4	2.5	476.0	8	monzosyenite	9.412916193358411	39.04872490562194	2.1529507472238487	3.280968414373911
La18	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.732	254.549	1430	1415	1445	Ma	0	29.8	-48.4	8.3	46.0	8	monzosyenite	13.746421540801078	48.07469005934084	7.147796480783179	10.892815135721385
La19	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.738	254.571	1430	1415	1445	Ma	0	31.1	-51.3	14.0	34.0	9	anorthosite	10.927859864136586	48.06517094117122	12.88668608392416	18.995452359706427
La25	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.77	254.639	1430	1415	1445	Ma	0	70.4	-36.4	4.3	147.0	9	anorthosite	0.24874529900849643	12.519967850660908	2.9216302495699766	5.012586173453958
La26	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.764	254.626	1430	1415	1445	Ma	0	38.2	-48.9	8.0	58.0	7	anorthosite	10.214891393643335	41.58977132153621	6.967346446827596	10.55829262472117
La27	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.758	254.61	1430	1415	1445	Ma	0	48.3	-53.6	10.0	37.0	7	anorthosite	2.1143214573772706	36.41372228614029	9.725554930447302	13.946723579713838
La28	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.751	254.598	1430	1415	1445	Ma	0	50.1	-43.8	8.0	48.0	8	anorthosite	8.256836862060945	30.250988905295312	6.243138691580796	9.994509445955451
La29	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Syenite	41.645	254.515	1430	1415	1445	Ma	0	37.0	-43.3	3.7	194.0	9	monzosyenite	14.870646688015226	40.2323747619943	2.8582910730980085	4.599060114950147
La30	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.392	254.559	1430	1415	1445	Ma	0	34.3	-52.0	3.2	293.0	8	anorthosite	9.531106886397879	45.78918196970201	2.99468841950642	4.377899711601567
La34	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.775	254.653	1430	1415	1445	Ma	0	40.6	-50.4	9.8	68.0	3	anorthosite	8.047950301261466	40.42475621467702	8.833094066865131	13.157835829290342
La35	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.773	254.654	1430	1415	1445	Ma	0	60.1	-50.9	7.2	94.0	4	anorthosite	-1.8596139555178826	27.030376767851454	6.5655812684689945	9.723392940016028
La36	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.778	254.59	1430	1415	1445	Ma	0	43.7	-54.3	8.9	34.0	9	anorthosite	3.555436063665373	39.96540685741089	8.805076711784354	12.519199873384942
La37	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive	Pluton	Anorthosite	41.725	254.541	1430	1415	1445	Ma	0	46.5	-44.3	5.4	126.0	7	anorthosite	9.780005227838847	33.12469098883679	4.257586729514479	6.780998206662229
La24	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.849	254.658	1430	1415	1445	Ma	0	84.6	-41.0	9.6	30.0	9	Sherman granite / quartz monzonite	-11.63374395379949	5.878082724120995	7.0881150307272245	11.665839386429194
La31	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.255	254.565	1430	1415	1445	Ma	0	41.8	-50.5	5.9	77.0	9	Sherman granite / quartz monzonite	7.88611194903667	39.4419092119754	5.330233951211579	7.9307477972948215
La33	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.254	254.585	1430	1415	1445	Ma	0	43.5	-48.3	10.5	25.0	9	Sherman granite / quartz monzonite	8.792726728545164	37.181242335027115	9.022190951500813	13.764665269505004
La40	Laramie Anorthosite Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Syenite:Granite	41.235	254.563	1430	1415	1445	Ma	0	61.8	-47.5	14.2	30.0	5	syenite-hosted xenolith	-0.21644204739131037	23.88174393870182	11.986832788947627	18.45063823302903
La41	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.236	254.563	1430	1415	1445	Ma	0	81.8	-45.7	23.8	16.0	4	Sherman granite / quartz monzonite	-11.83653484777625	10.402450002271712	19.323265681776938	30.327997732336076
La42	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.232	254.563	1430	1415	1445	Ma	0	52.1	-46.9	14.0	17.0	9	Sherman granite / quartz monzonite	5.557473098225547	30.19577289844393	11.663803448831835	18.071704307211633
La43	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.253	254.585	1430	1415	1445	Ma	0	34.7	-57.0			2	Sherman granite / quartz monzonite	5.018883872809523	47.66103384860189		
La44	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	41.254	254.565	1430	1415	1445	Ma	0	60.4	-42.6	10.9	27.0	8	Sherman granite / quartz monzonite	3.5509305819415773	22.237651025282755	8.30312732739784	13.453927892525401
Sg1	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	40.991	254.59	1430	1415	1445	Ma	0	53.8	-47.0	24.0	8.0	5	Sherman granite / quartz monzonite	4.756635794660964	29.05831191638812	20.038697317997624	31.01382709798786
Sg3	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	40.96	254.64	1430	1415	1445	Ma	0	215.0	44.2	18.5	26.0	4	Sherman granite / quartz monzonite	-15.64466405688632	222.2501106719664	14.556141210349224	23.20726663747632
Sg4	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	40.951	254.655	1430	1415	1445	Ma	0	238.0	47.3	6.2	43.0	14	Sherman granite / quartz monzonite	-2.2725514369696356	206.39159583359762	5.210737316653513	8.038230074245423
Sg5	Sherman Granite	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1029/94JB00580	Intrusive:Intrusive	Pluton:Pluton	Granite:Quartz Monzonite	40.901	254.723	1430	1415	1445	Ma	0	87.3	-51.3			1	Sherman granite / quartz monzonite	-18.448672182206998	11.431075460702331		
ELlBlk	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive	Volcanic Dike	Diabase	37.5456	252.194	1430	1415	1445	Ma	0	25.3	-44.0	8.1	69.0	6	diabase dike cutting the Electra Lake gabbro	22.36710381018163	47.60196353571196	6.34709377307761	10.140163663563682
ELA1	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive	Volcanic Dike	Diabase	37.5447	252.197	1430	1415	1445	Ma	0	33.2	-48.0	4.8	408.0	4	diabase dike cutting the Electra Lake gabbro	16.51003180869065	42.243771665709836	4.096948647740908	6.271419856644324
ELA3	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive	Volcanic Dike	Diabase	37.5444	252.198	1430	1415	1445	Ma	0	35.3	-38.5	7.6	146.0	4	diabase dike cutting the Electra Lake gabbro	22.0915322189347	36.78312775616367	5.356966801896923	9.023629834430999
ELA4	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive	Volcanic Dike	Diabase	37.5547	252.198	1430	1415	1445	Ma	0	23.2	-52.3	5.9	70.0	10	diabase dike cutting the Electra Lake gabbro	16.303735828175633	52.03937651092908	5.561064353666406	8.100651786940581
ELA6	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive:Metamorphic	Volcanic Dike:Baked Rock	Diabase:Gneiss	37.5619	252.2	1430	1415	1445	Ma	0	41.7	-42.8	27.5	12.0	4	contact melt-zone gneiss and diabase	16.316757505520226	33.22369626709431	21.031873082456404	34.01107201390603
ELA7	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Metamorphic	Baked Rock	Gneiss	37.565	252.201	1430	1415	1445	Ma	0	34.7	-54.2	16.4	15.0	7	contact melt-zone gneiss	10.848786608513159	43.75300804888473	16.185330365530177	23.040808058516298
ELA9	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive	Pluton	Gabbro	37.5661	252.201	1430	1415	1445	Ma	0	25.1	-40.4	12.2	31.0	6	Electra Lake gabbro	24.94598585318162	46.702263297143055	8.905688743851528	14.741058488113302
ELAI0	Electra Lake Gabbro	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-BFP:DE-FM	10.1029/98JB01350	Intrusive	Pluton	Gabbro	37.5672	252.202	1430	1415	1445	Ma	0	33.3	-46.5	5.3	212.0	5	Electra Lake gabbro	17.57232629117787	41.57144935487918	4.377459104901646	6.811832830593939
