tab delimited	locations																										
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age_low	age_high	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	dir_dec	dir_inc	dir_alpha95	dir_k	description
AW-12-22	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	17	17	36.149317	248.156054	765.97	768.4	Ma	0	268	-11	16	20	8					"Galeros Formation, Jupiter member"
AW-12-23	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	1	165	36.146884	248.155693	765.97	768.4	Ma	0	270	3	6	112	8					"Galeros Formation, Jupiter member"
JG-60-18	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Calcareous Sandstone: Dolomite: Sandstone: Tephra	24	290	36.203796	248.149985	729.81	746.12	Ma	100	303	29	18	27	7	35.54009446	151.4814561	10.92604649	19.83274246	"Kwagunt Formation, Walcott member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
JG-60-6	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Calcareous Sandstone: Dolomite: Sandstone: Tephra	21	313	36.205515	248.152709	729.81	746.12	Ma	100	290	30	13	28	7	25.40261964	160.0365414	8	14.4222051	"Kwagunt Formation, Walcott member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
JG-53-2	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Carbonate: Stromatolite	30	229	36.258118	248.110988	746.12	753.47	Ma	100	98	-13	11	76	6	10.32919674	158.7341747	5.716971845	11.21487319	"Kwagunt Formation, Awatubi member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-4	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	20	95	36.26907	248.103964	753.47	754.87	Ma	100	272	23	9	39	8	8.646852332	166.6662117	5.081892502	9.564207496	"Kwagunt Formation, Carbon Butte member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-10	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	14	43	36.247153	248.133426	753.47	754.87	Ma	100	94	-34	12	65	6	14.01988384	171.1572038	7.838245037	13.7156072	"Kwagunt Formation, Carbon Butte member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-11	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	21	62	36.2495	248.133917	753.47	754.87	Ma	100	108	-28	16	258	6	23.12660486	160.0415068	9.584312335	17.51279517	"Kwagunt Formation, Carbon Butte member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-13	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	9	106	36.242285	248.12589	753.47	754.87	Ma	100	83	-36	21	20	7	6.28511019	178.3182874	14.17230934	24.39747922	"Kwagunt Formation, Carbon Butte member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-14A	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	21	71	36.242383	248.121909	753.47	754.87	Ma	100	97	-39	12	60	6	18.23903383	172.5036471	8.535252707	14.31244441	"Kwagunt Formation, Carbon Butte member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-14B	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Sandstone: Siltstone: Mudstone	21	71	36.242021	248.118195	753.47	754.87	Ma	100	103	-37	12	39	8	22.22364497	168.065869	8.237639327	14.06070211	"Kwagunt Formation, Carbon Butte member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-8	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	43	252	36.255328	248.141498	756.32	765.97	Ma	100	256	17	13	27	6	-5.939544179	173.4906585	6.945267416	13.43789242	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-9	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	60	250	36.253493	248.142241	756.32	765.97	Ma	100	254	-11	9	90	7	-16.16703825	163.1733597	4.62632673	9.12545238	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-15	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	12	33	36.236527	248.119935	756.32	765.97	Ma	100	285	35	15	24	7	23.10149153	165.7498205	9.956753786	17.28301518	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-19	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	39	40	36.163766	248.147031	756.32	765.97	Ma	100	296	1	16	16	7	21.04175299	142.5064186	8.001827937	16.00182783	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-12-20	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	16	20	36.16525	248.146738	756.32	765.97	Ma	100	285	7	7	53	6	14.16512216	152.050111	3.53942603	7.039315621	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-1	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	25	200	36.279811	248.113842	756.32	765.97	Ma	100	264	-5	11	31	7	-6.317840667	159.6452845	5.531513545	11.03146853	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-2	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	20	195	36.277885	248.113658	756.32	765.97	Ma	100	259	10	15	16	7	-5.811884148	168.7288345	7.673539138	15.17254673	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-3	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	20	175	36.278323	248.11634	756.32	765.97	Ma	100	245	22	14	21	7	-12.52013419	182.6106739	7.823393157	14.80050703	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-6	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	30	125	36.273822	248.106226	756.32	765.97	Ma	100	247	-5	12	31	7	-19.91113878	170.1210008	6.034378413	12.03432931	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-7	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	29	127	36.273822	248.106226	756.32	765.97	Ma	100	263	2	17	22	6	-5.043218804	163.0686076	8.507771689	17.00776991	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
AW-13-8	ChRM	Grand Canyon	i	g	LP-DIR-T: DE-BFL: DE-FM: FS-LOC-GIS: GE-WGS84: FS-H	10.1016/j.precamres.2003.09.016	Sedimentary	Sediment Layer	Mudstone: Siltstone: Sandstone: Dolomite: Stromatolite	13	115	36.273822	248.106226	756.32	765.97	Ma	100	267	10	14	24	7	0.568944035	163.9405527	7.161969862	14.16104361	"Galeros Formation, Carbon Canyon member. vgp_lat, vgp_lon, vgp_dp, and vgp_dm computed using PmagPy pmag.dia_vgp"
