tab 	sites
age	age_high	age_low	age_unit	citations	dir_comp_name	dir_dec	dir_inc	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	samples	site	software_packages	specimens	vgp_lat	vgp_lon
1075	1085.57	1050	Ma	This study	hdt	212.1	45.6	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-105	PF18-105	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-105a	-11.0	240.6
1075	1085.57	1050	Ma	This study	lt	355.1	74.1	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-105	PF18-105	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-105a	75.8	259.5
1075	1085.57	1050	Ma	This study	mht	263.6	56.0	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-105	PF18-105	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-105a	21.7	210.2
1075	1085.57	1050	Ma	This study	hdt	264.0	10.5	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-105	PF18-105	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-105a	-0.3	187.5
1075	1085.57	1050	Ma	This study	lt	320.3	-3.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-105	PF18-105	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-105a	30.7	137.4
1075	1085.57	1050	Ma	This study	mht	284.5	-15.8	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-105	PF18-105	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-105a	4.0	163.4
1075	1085.57	1050	Ma	This study	mht	286.9	-19.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-106	PF18-106	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-106a	4.3	160.5
1075	1085.57	1050	Ma	This study	lt	358.3	68.8	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-106	PF18-106	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-106a	84.2	259.2
1075	1085.57	1050	Ma	This study	mht	270.4	55.3	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-106	PF18-106	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-106a	25.4	205.7
1075	1085.57	1050	Ma	This study	lt	324.9	-5.8	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-106	PF18-106	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-106a	31.7	131.9
1075	1085.57	1050	Ma	This study	lt	314.2	-4.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-107	PF18-107	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-107a	27.0	143.0
1075	1085.57	1050	Ma	This study	hdt	251.9	21.1	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-107	PF18-107	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-107a	-4.2	200.1
1075	1085.57	1050	Ma	This study	hdt	198.9	33.7	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-107	PF18-107	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-107a	-22.9	250.0
1075	1085.57	1050	Ma	This study	lt	332.5	76.8	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-107	PF18-107	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-107a	66.3	240.2
1075	1085.57	1050	Ma	This study	hdt	206.4	32.3	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-108	PF18-108	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-108a	-21.7	242.3
1075	1085.57	1050	Ma	This study	mt	191.2	31.4	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-108	PF18-108	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-108a	-25.8	257.6
1075	1085.57	1050	Ma	This study	hdt	250.2	14.9	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-108	PF18-108	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-108a	-7.8	199.2
1075	1085.57	1050	Ma	This study	mt	250.2	27.8	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-108	PF18-108	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-108a	-2.3	203.9
1075	1085.57	1050	Ma	This study	hdt	255.7	28.0	1	1	1	100.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO:FS-LOC-GPS	g	PF18-109	PF18-109	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-109a	1.2	200.0
1075	1085.57	1050	Ma	This study	hdt	190.0	36.1	1	1	1	0.0	Sedimentary	Sediment Layer	46.46	Siltstone	Potato River Falls	269.47	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	PF18-109	PF18-109	pmagpy-4.2.24-1: demag_gui.v.3.0	PF18-109a	-22.9	259.3
