tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen	weight
This study	hdt	0.0	255.7	28.0	4.3	2	14	100.0	PF18-109a_LP-DIR-T	hargrave 2021-06-08 10:32:16	u	965.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-109	pmagpy-4.2.24-1: demag_gui	PF18-109a	
This study	lt	29.1	320.9	-5.3	0.1	2	3	100.0	PF18-109a_LP-DIR-T	hargrave 2021-06-08 10:32:16	u	473.0	373.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-109	pmagpy-4.2.24-1: demag_gui	PF18-109a	
This study	hdt	0.0	277.4	16.2	1.5	3	13	100.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	968.0	941.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	mt	1.8	280.1	16.0	7.1	3	12	100.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	863.0	623.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	hdt	0.0	205.2	55.9	1.5	3	13	0.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	968.0	941.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	lt	29.5	196.6	58.0	4.4	3	4	-1.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	473.0	323.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	hdt	0.0	162.3	25.4	1.5	3	13	-1.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	968.0	941.0	K	LP-DIR-T:DE-BFL-A:DA-DIR	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	mt	1.8	162.9	27.9	7.1	3	12	-1.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	863.0	623.0	K	LP-DIR-T:DE-BFL:DA-DIR	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	lt	29.5	338.2	81.0	4.4	3	4	0.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	473.0	323.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
This study	mt	1.8	204.8	58.5	7.1	3	12	0.0	PF18-10a_LP-DIR-T	hargrave 2021-06-10 13:38:34	u	863.0	623.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	PF18-10	pmagpy-4.2.24-1: demag_gui	PF18-10a	
