tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_comp_name	dir_dec	dir_inc	dir_polarity	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
SL34	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.726	273.673	1107	1105	1109	Ma	0	ChRM	138.5	-75.6	r	73.0	9.1	4	-63.4	51.1	15.4	16.7	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL5-6	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.732	273.670	1107	1105	1109	Ma	0	ChRM	98.0	-63.5	r	61.0	6.7	8	-36.7	33.0	8.4	10.6	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL7	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.756	273.690	1107	1105	1109	Ma	0	ChRM	113.7	-68.8	r	110.0	6.6	5	-49.2	34.6	9.5	11.2	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
SL7-8	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.755	273.689	1107	1105	1109	Ma	0	ChRM	127.4	-62.4	r	52.0	11.0	4	-54.0	16.0	13.4	17.2	Center A (eastern gabbro and ferroaugite syenite); reversed ChRM
CCW1	Coldwell Complex	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.814	273.327	1107	1105	1109	Ma	0	ChRM	267.0	53.2	n	23.0	14.3	5	22.9	209.0	13.8	19.8	Center B (western gabbro and syenite); normal-polarity ChRM
CCW2	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.817	273.316	1107	1105	1109	Ma	0	ChRM	293.3	51.0	n	77.0	5.9	8	38.1	190.1	5.4	8.0	Center B (western gabbro and syenite); normal-polarity ChRM
CLD7	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.770	273.451	1107	1105	1109	Ma	0	ChRM	318.0	57.3	n	73.0	9.3	4	58.1	179.6	9.9	13.6	Center B (western gabbro and syenite); normal-polarity ChRM
SL13E	Coldwell Complex	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.796	273.547	1107	1105	1109	Ma	0	ChRM	303.5	62.6	n	120.0	4.8	8	51.6	198.3	5.9	7.5	Center B (western gabbro and syenite); normal-polarity ChRM
SL18	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.799	273.349	1107	1105	1109	Ma	0	ChRM	299.2	49.8	n	107.0	6.0	6	41.3	184.8	5.3	8.0	Center B (western gabbro and syenite); normal-polarity ChRM
SL19	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.796	273.354	1107	1105	1109	Ma	0	ChRM	295.5	58.5	n	46.0	10.0	5	44.1	196.7	11.0	14.8	Center B (western gabbro and syenite); normal-polarity ChRM
SL20	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.800	273.364	1107	1105	1109	Ma	0	ChRM	308.2	59.3	n	21.0	14.0	6	52.8	189.9	15.7	21.0	Center B (western gabbro and syenite); normal-polarity ChRM
SL37	Coldwell Complex	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.802	273.374	1107	1105	1109	Ma	0	ChRM	321.3	54.4	n	154.0	4.9	6	58.5	171.9	4.9	6.9	Center B (western gabbro and syenite); normal-polarity ChRM
SL47	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.817	273.318	1107	1105	1109	Ma	0	ChRM	287.7	58.7	n	28.0	10.8	7	39.2	201.5	11.9	16.1	Center B (western gabbro and syenite); normal-polarity ChRM
SL49	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.797	273.349	1107	1105	1109	Ma	0	ChRM	289.6	55.1	n	142.0	5.2	6	38.2	196.5	5.2	7.4	Center B (western gabbro and syenite); normal-polarity ChRM
CLD11	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.784	273.404	1107	1105	1109	Ma	0	ChRM	129.4	-49.2	r	107.0	7.7	4	-47.6	356.3	6.8	10.2	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
GLS	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.824	273.515	1107	1105	1109	Ma	0	ChRM	92.1	-57.2	r	23.0	14.9	5	-28.7	29.3	15.8	21.7	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
GLG	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.821	273.515	1107	1105	1109	Ma	0	ChRM	131.5	-43.8	r	90.0	8.4	4	-46.0	349.8	6.6	10.5	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
GLS2	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.824	273.515	1107	1105	1109	Ma	0	ChRM	110.2	-49.6	r	162.0	7.9	3	-35.3	11.2	7.0	10.5	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
CLD8	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.765	273.475	1107	1105	1109	Ma	0	ChRM	131.2	-64.5	r	259.0	6.3	3	-57.5	18.0	8.1	10.1	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL11	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.792	273.513	1107	1105	1109	Ma	0	ChRM	77.1	-68.9	r	205.0	4.8	5	-30.4	49.9	6.9	8.1	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL13	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.793	273.537	1107	1105	1109	Ma	0	ChRM	120.4	-60.5	r	191.0	4.4	6	-48.4	16.7	5.1	6.7	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL14-13	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.779	273.580	1107	1105	1109	Ma	0	ChRM	89.8	-69.1	r	284.0	3.1	8	-36.6	44.5	4.5	5.3	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL21	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.789	273.389	1107	1105	1109	Ma	0	ChRM	120.7	-57.5	r	77.0	7.0	6	-46.8	12.2	7.5	10.2	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL25	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.793	273.499	1107	1105	1109	Ma	0	ChRM	110.6	-57.0	r	2315.0	1.7	4	-40.0	18.0	1.8	2.5	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL28	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.802	273.374	1107	1105	1109	Ma	0	ChRM	118.6	-45.4	r	64.0	7.7	6	-38.4	1.7	6.2	9.8	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL32	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.795	273.505	1107	1105	1109	Ma	0	ChRM	99.4	-75.2	r	67.0	6.4	8	-45.7	52.2	10.7	11.7	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL41	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.797	273.555	1107	1105	1109	Ma	0	ChRM	132.2	-67.9	r	56.0	8.3	6	-59.7	26.0	11.7	13.9	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL44	Coldwell Complex	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.764	273.474	1107	1105	1109	Ma	0	ChRM	114.0	-59.7	r	56.0	7.5	3	-43.8	19.3	8.5	11.3	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL45	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.772	273.487	1107	1105	1109	Ma	0	ChRM	108.5	-69.7	r	38.0	9.1	8	-46.8	38.0	13.4	15.6	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
SL46	Coldwell Complex	i	g	LP-DIR-AF:DE-BFL:DA-DIR-GEO	Kulakov2014a	Igneous	Intrusion	Alkaline Igneous Rock	48.795	273.503	1107	1105	1109	Ma	0	ChRM	114.1	-76.3	r	292.0	5.9	3	-52.6	52.3	10.1	10.9	Center C (central biotite gabbro, nepheline syenite and syenite, Geordie Lakes area); reversed ChRM
