tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_n_samples	dir_polarity	description	vgp_lat	vgp_lon
6	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	322	-70	3	r	Kazan Formation: red sandstone	-31.6	110.5
7	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	357	-55	1	r	Kazan Formation: red sandstone	-9.7	87.8
8	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	179	50	3	n	Kazan Formation: red sandstone	4.9	266.2
18	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	152	38	3	n	Kazan Formation: red mudstone breccia	-1.8	291.2
3	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	186	49	5	n	Kazan Formation: red sandstone	4.1	260.1
5	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	169	41	4	n	Kazan Formation: red sandstone	-2.0	275.4
4	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	162	53	5	n	Kazan Formation: red sandstone	8.7	280.4
15	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	177	32	4	n	Kazan Formation: red mudstone breccia	-8.5	268.2
16	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	353	-42	2	r	Kazan Formation: red sandstone	1.5	91.7
17	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	2	-42	3	r	Kazan Formation: red sandstone	1.6	83.5
33	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	337	-37	3	r	Kazan Formation: red sandstone	3.4	106.8
12	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	150	52	3	n	Kazan Formation: red sandstone	9.6	290.6
13	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	153	57	3	n	Kazan Formation: red sandstone	13.9	287.1
14	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	132	60	3	n	Kazan Formation: red sandstone	21.6	302.5
19	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	1	-34	4	r	Kazan Formation: red mudstone	7.3	84.3
20	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	7	-32	6	r	Kazan Formation: red mudstone	8.4	78.5
21	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	356	-18	6		Kazan Formation: red mudstone	16.6	89.4
22	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	339	-40	3	r	Kazan Formation: red mudstone	1.6	104.6
24	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Sandstone	64.1	265.3	1796	1758	1833	Ma	100	339	-52	3	r	Kazan Formation: red sandstone	-8.1	103.1
25	Dubawnt Group	i	g	LP-DIR-T:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Sedimentary	Sediment Layer	Mudstone	64.1	265.3	1796	1758	1833	Ma	100	348	-34	3	r	Kazan Formation: red mudstone breccia	6.7	96.7
23	Dubawnt Group	i	b	LP-DIR-AF:DE-BLANKET:DE-FM	10.1130/0016-7606(1973)84<859:POTPDG>2.0.CO;2	Extrusive	Tuff	Tuff	64.1	265.3	1796	1758	1833	Ma	100	292	-8	5		Christopher Island Formation: lapilli tuff	5.7	153.7
