tab delimited	contribution
id	version	timestamp	contributor	data_model_version	reference	lab_names	description
20696	2	2026-06-06T15:06:06.829Z	@polarwander	3.0	10.1139/CJES-2013-0003	Earth Magnetism Laboratory (Michigan Tech, USA)	Corrected the Fisher k values for sites SI1–SI10 (previously mis-entered as the LST1a–LST10a values) and added the Diehl & Haig (1994) flow means plus the location-level Lake Shore Traps mean pole.
>>>>>>>>>>
tab delimited	locations
location	sites	location_type	result_name	result_type	result_quality	method_codes	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age	age_sigma	age_unit	dir_tilt_correction	pole_lat	pole_lon	pole_alpha95	pole_k	pole_n_sites	description
Lake Shore Traps	CS1:CS2:SI1:SI2:SI3:SI4:SI5:SI6:SI7:SI8:SI9:SI10:LST12:LST14:LST15:LST18:LST22:LST24:LST25:LST30:LST1:LST2:LST3:LST4:LST5:LST6:LST7:LST8:LST9:LST10:LST11:LST13:LST16:LST17:LST19:LST23:LST26:LST28:LST29:LST31:Lt1:Lt2:OT1:OT2:OT3:OT4:OT5:OT6:OT7:OT8	Outcrop	Lake Shore Traps ca. 1085 Ma pole	a	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM:DE-VGP:ST-G	10.1139/cjes-2013-0003:10.1139/e94-034:10.1130/L580.1:10.1139/e81-053	Igneous	Basalt	47.3	47.46	271.55	272.29	1085.57	0.5	Ma	100	23.1	185.7	3.3	38.8	50	Lake Shore Traps mean pole built on the Kulakov et al. (2013) contribution with the Diehl & Haig (1994) sites merged in (duplicated flow LST28 counted once; N=50). Age constrained by a U-Pb (206Pb/238U, CA-ID-TIMS) weighted-mean date of 1085.57 +/- 0.5 Ma on an andesitic flow within the Lake Shore Traps (Fairchild et al., 2017). Positive conglomerate test on Keweenawan conglomerates (Palmer, Halls & Pesonen, 1981; method code ST-G) supports a primary magnetization.
>>>>>>>>>>
tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	bed_dip	bed_dip_direction	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description
SI9	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	275.9	47.1	2.5	574.0	7	24.2	198.1	2.1	3.2	Middle LST; Kulakov et al. (2013)
SI10	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	38	356.0	47.46	271.93	1085.57	0.5	Ma	100	274.2	42.4	3.9	225.0	10	20.6	196.3	3.0	4.8	Middle LST; Kulakov et al. (2013)
LST12	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	291.2	38.3	4.3	153.0	6	29.9	182.3	3.0	5.1	Middle LST; Kulakov et al. (2013)
LST14	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	279.7	45.7	4.1	160.0	6	25.9	195.0	3.3	5.2	Middle LST; Kulakov et al. (2013)
LST15	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	281.1	42.6	3.2	142.0	6	25.2	192.1	2.4	3.9	Middle LST; Kulakov et al. (2013)
LST18	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	280.8	41.1	6.6	85.0	7	24.2	191.4	4.9	8.0	Middle LST; Kulakov et al. (2013)
LST22	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	272.3	42.0	5.8	133.0	6	19.1	197.7	4.4	7.1	Middle LST; Kulakov et al. (2013)
LST24	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	269.4	36.0	2.5	481.0	6	14.2	196.5	1.7	2.9	Middle LST; Kulakov et al. (2013)
LST25	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	279.1	43.9	6.0	104.0	6	24.6	194.2	4.7	7.5	Middle LST; Kulakov et al. (2013)
LST28_K2013	Lake Shore Traps	i	b	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	276.9	36.8	4.9	159.0	8	19.5	191.7	3.4	5.7	Middle LST; Kulakov et al. (2013) — Kulakov et al. (2013) re-measurement of flow LST28 (Diehl & Haig, 1994); flagged result_quality=b and excluded from the pole to avoid double-counting the flow (the Diehl & Haig measurement is used).
LST30	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/cjes-2013-0003	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	268.4	36.6	5.1	144.0	6	13.8	197.5	3.5	6.0	Middle LST; Kulakov et al. (2013)
LST1	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	301.3	38.7	3.8	184.7	9	36.9	175.8	2.7	4.5	Middle LST; Diehl & Haig (1994)
LST2	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	302.5	37.6	4.8	162.8	7	37.1	173.2	3.3	5.7	Middle LST; Diehl & Haig (1994)
LST3	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	302.5	36.7	2.4	620.2	7	36.7	172.6	1.6	2.8	Middle LST; Diehl & Haig (1994)
LST4	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	300.1	36.8	2.1	681.1	8	35.2	174.6	1.4	2.5	Middle LST; Diehl & Haig (1994)
LST5	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	302.0	34.8	2.4	630.0	7	35.5	171.9	1.6	2.8	Middle LST; Diehl & Haig (1994)
LST6	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	300.4	35.1	3.4	228.2	9	34.6	173.4	2.3	3.9	Middle LST; Diehl & Haig (1994)
LST7	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	295.5	35.6	2.0	581.8	10	31.5	177.6	1.3	2.3	Middle LST; Diehl & Haig (1994)
LST8	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	299.7	35.2	3.9	207.3	8	34.1	174.0	2.6	4.5	Middle LST; Diehl & Haig (1994)
LST9	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	295.8	27.6	3.9	206.4	8	28.1	173.2	2.3	4.3	Middle LST; Diehl & Haig (1994)
LST10	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	300.7	30.7	2.1	863.3	7	32.7	170.8	1.3	2.3	Middle LST; Diehl & Haig (1994)
LST11	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	289.9	20.9	3.1	379.3	7	21.4	174.9	1.7	3.3	Middle LST; Diehl & Haig (1994)
LST13	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	285.3	42.4	4.5	155.4	8	27.9	189.1	3.4	5.5	Middle LST; Diehl & Haig (1994)
LST16	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	278.7	42.6	2.7	358.8	9	23.6	193.7	2.1	3.3	Middle LST; Diehl & Haig (1994)
LST17	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	278.9	43.9	3.3	292.0	8	24.4	194.4	2.6	4.1	Middle LST; Diehl & Haig (1994)
LST19	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	282.5	39.9	3.1	331.1	8	24.8	189.5	2.2	3.7	Middle LST; Diehl & Haig (1994)
LST23	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	276.9	41.9	2.0	786.0	8	22.1	194.5	1.5	2.5	Middle LST; Diehl & Haig (1994)
LST26	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	271.9	41.9	5.5	103.5	8	18.8	197.9	4.1	6.7	Middle LST; Diehl & Haig (1994)
LST28	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	276.4	32.4	3.9	207.2	8	17.1	189.9	2.5	4.4	Middle LST; Diehl & Haig (1994) — flow also measured by Kulakov et al. (2013), retained in this contribution as site LST28_K2013 (result_quality=b) but excluded from the pole to avoid double-counting; this Diehl & Haig (1994) measurement is the one used.
LST29	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	276.2	39.5	2.1	592.9	9	20.4	193.6	1.5	2.5	Middle LST; Diehl & Haig (1994)
LST31	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	24	22.0	47.43	272.29	1085.57	0.5	Ma	100	274.2	40.2	3.9	208.3	8	19.4	195.4	2.8	4.7	Middle LST; Diehl & Haig (1994)
Lt1	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	29	298.0	47.3	271.55	1085.57	0.5	Ma	100	295.4	12.9	2.4	656.2	7	21.9	166.8	1.2	2.4	Middle LST; Diehl & Haig (1994)
Lt2	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	29	298.0	47.3	271.55	1085.57	0.5	Ma	100	281.8	22.3	3.4	321.6	7	16.5	180.9	1.9	3.6	Middle LST; Diehl & Haig (1994)
OT1	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	281.3	8.9	6.1	83.6	8	10.9	176.3	3.1	6.2	Outer LST; Diehl & Haig (1994)
OT2	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	275.4	3.9	5.8	109.0	7	5.1	178.9	2.9	5.8	Outer LST; Diehl & Haig (1994)
OT3	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	275.3	1.5	4.2	206.6	7	4.1	178.2	2.1	4.2	Outer LST; Diehl & Haig (1994)
OT4	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	278.4	3.6	6.4	109.7	6	7.0	176.6	3.2	6.4	Outer LST; Diehl & Haig (1994)
OT5	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	276.5	4.7	3.0	394.1	7	6.1	178.3	1.5	3.0	Outer LST; Diehl & Haig (1994)
OT6	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	275.9	2.9	4.5	182.8	7	5.1	178.2	2.3	4.5	Outer LST; Diehl & Haig (1994)
OT7	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	283.9	10.2	5.8	83.6	9	13.2	174.8	3.0	5.9	Outer LST; Diehl & Haig (1994)
OT8	Lake Shore Traps	i	g	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	10.1139/e94-034	Igneous	Lava Flow	Basalt	25	295.0	47.34	271.55	1085.57	0.5	Ma	100	275.6	5.8	2.1	863.3	7	5.9	179.4	1.1	2.1	Outer LST; Diehl & Haig (1994)
