tab 	sites
age	age_sigma	age_unit	bed_dip	bed_dip_direction	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_tilt_correction	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.3	278.9	43.9	292.0	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST17	4.1	2.6	24.4	194.4
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.1	282.5	39.9	331.1	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST19	3.7	2.2	24.8	189.5
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.0	276.9	41.9	786.0	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST23	2.5	1.5	22.1	194.5
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	5.5	271.9	41.9	103.5	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST26	6.7	4.1	18.8	197.9
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994) — flow also measured by Kulakov et al. (2013), retained in this contribution as site LST28_K2013 (result_quality=b) but excluded from the pole to avoid double-counting; this Diehl & Haig (1994) measurement is the one used.	3.9	276.4	32.4	207.2	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST28	4.4	2.5	17.1	189.9
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.1	276.2	39.5	592.9	9	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST29	2.5	1.5	20.4	193.6
1085.57	0.5	Ma	24	22.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.9	274.2	40.2	208.3	8	100	Igneous	Lava Flow	47.43	Basalt	Lake Shore Traps	272.29	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	LST31	4.7	2.8	19.4	195.4
1085.57	0.5	Ma	29	298.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	2.4	295.4	12.9	656.2	7	100	Igneous	Lava Flow	47.3	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	Lt1	2.4	1.2	21.9	166.8
1085.57	0.5	Ma	29	298.0	10.1139/e94-034	Middle LST; Diehl & Haig (1994)	3.4	281.8	22.3	321.6	7	100	Igneous	Lava Flow	47.3	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	Lt2	3.6	1.9	16.5	180.9
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	6.1	281.3	8.9	83.6	8	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT1	6.2	3.1	10.9	176.3
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	5.8	275.4	3.9	109.0	7	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT2	5.8	2.9	5.1	178.9
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	4.2	275.3	1.5	206.6	7	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT3	4.2	2.1	4.1	178.2
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	6.4	278.4	3.6	109.7	6	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT4	6.4	3.2	7.0	176.6
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	3.0	276.5	4.7	394.1	7	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT5	3.0	1.5	6.1	178.3
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	4.5	275.9	2.9	182.8	7	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT6	4.5	2.3	5.1	178.2
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	5.8	283.9	10.2	83.6	9	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT7	5.9	3.0	13.2	174.8
1085.57	0.5	Ma	25	295.0	10.1139/e94-034	Outer LST; Diehl & Haig (1994)	2.1	275.6	5.8	863.3	7	100	Igneous	Lava Flow	47.34	Basalt	Lake Shore Traps	271.55	LP-DIR-AF:LP-DIR-T:DE-BFL:DE-FM	g	i	OT8	2.1	1.1	5.9	179.4
