tab delimited	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_k	dir_alpha95	dir_n_samples	vgp_lat	vgp_lon	vgp_dp	vgp_dm	description	filtered_out_by_direction	strike	dip	section
FG-AW-04	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	257	-1		11.4	6/6					Flaming Gorge Section		236	18	Flaming Gorge Section
FG-GA-01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	264.9	-5.3		6.6	5/5					Flaming Gorge Section		232	15	Flaming Gorge Section
FG-GA-01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	261	-18		6.6	5/5					Flaming Gorge Section		232	15	Flaming Gorge Section
FG-GA-02	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	268.4	-1		20.1	6/6					Flaming Gorge Section		220	20	Flaming Gorge Section
FG-GA-02	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	266	-16		20.1	6/6					Flaming Gorge Section		220	20	Flaming Gorge Section
FG-GA-03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	266.5	-3.4		13.3	5/6					Flaming Gorge Section		229	17	Flaming Gorge Section
FG-GA-03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	265	-13		13.3	5/6					Flaming Gorge Section		229	17	Flaming Gorge Section
FG-GA-04	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	262.2	7.8		10.4	5/6					Flaming Gorge Section		205	17	Flaming Gorge Section
FG-GA-04	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	262	-6		10.4	5/6					Flaming Gorge Section		205	17	Flaming Gorge Section
FG-GA-06	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	275.1	0.9		9.1	5/6					Flaming Gorge Section		238	18	Flaming Gorge Section
FG-GA-06	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	274	-10		9.1	5/6					Flaming Gorge Section		238	18	Flaming Gorge Section
FG-GA-07	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	271.1	-3.1		8.3	6/6					Flaming Gorge Section		237	18	Flaming Gorge Section
FG-GA-07	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	269	-13		8.3	6/6					Flaming Gorge Section		237	18	Flaming Gorge Section
FG-GA-08	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	259.1	-3		6.7	6/6					Flaming Gorge Section		237	18	Flaming Gorge Section
FG-GA-08	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	257	-10		6.7	6/6					Flaming Gorge Section		237	18	Flaming Gorge Section
FG 48	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	275.2	-8.2		4.4	4/11					Flaming Gorge Section		250	18	Flaming Gorge Section
FG 48	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	271.7	-15.4		4.4	4/11					Flaming Gorge Section		250	18	Flaming Gorge Section
FG 49	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	267.7	-5.7		8.1	6/10					Flaming Gorge Section		273	18	Flaming Gorge Section
FG 49	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	266.2	-3.8		8.1	6/10					Flaming Gorge Section		273	18	Flaming Gorge Section
FG 50a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	295.3	-10.3		8.9	7/11					Flaming Gorge Section	yes	254	20	Flaming Gorge Section
FG 50a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	290.6	-23		8.9	7/11					Flaming Gorge Section	yes	254	20	Flaming Gorge Section
FG 51	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	275.1	-3.1		3.2	5/7					Flaming Gorge Section		268	16	Flaming Gorge Section
FG 51	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	274	-4.9		3.2	5/7					Flaming Gorge Section		268	16	Flaming Gorge Section
FG 52	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	279.2	-12.1		8.3	5/13					Flaming Gorge Section		268	18	Flaming Gorge Section
FG 52	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	274.9	-15		8.3	5/13					Flaming Gorge Section		268	18	Flaming Gorge Section
FG 53	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	275.5	2.5		7.5	4/5					Flaming Gorge Section		296	15	Flaming Gorge Section
FG 53	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	276.8	7.6		7.5	4/5					Flaming Gorge Section		296	15	Flaming Gorge Section
BC 01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	270.6	5.9		6	8/8					Bull Canyon		29	13	Bull Canyon
BC 01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	267.9	8.8		6	8/8					Bull Canyon		29	13	Bull Canyon
BC 02b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	280.2	6.2		16.6	8/8					Bull Canyon		55	16	Bull Canyon
BC 02b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	277.2	7.3		16.6	8/8					Bull Canyon		55	16	Bull Canyon
BC 03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	267.3	-5.9		14.4	6/10					Bull Canyon		16	19	Bull Canyon
BC 03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	267	12.1		14.4	6/10					Bull Canyon		16	19	Bull Canyon
BC 04b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	276.4	-2.2		20.5	9/9					Bull Canyon		51	20	Bull Canyon
BC 04b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	271.8	1.2		20.5	9/9					Bull Canyon		51	20	Bull Canyon
BC 05	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	274.2	10		14.2	7/9					Bull Canyon		51	20	Bull Canyon
BC 05	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	272.3	8.7		14.2	7/9					Bull Canyon		51	20	Bull Canyon
BC 06	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	269	5.1		5.8	10/10					Bull Canyon		51	20	Bull Canyon
BC 06	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	264.9	12.1		5.8	10/10					Bull Canyon		51	20	Bull Canyon
BC 07	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	279.4	2.5		8.4	9/9					Bull Canyon		49	12	Bull Canyon
BC 07	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	277.9	5.8		8.4	9/9					Bull Canyon		49	12	Bull Canyon
BC 08	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	282.9	2.3		9.2	9/14					Bull Canyon		89	17	Bull Canyon
BC 08	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	281.8	6.2		9.2	9/14					Bull Canyon		89	17	Bull Canyon
BC 09a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	2.1	56.7		4.4	10/10					Bull Canyon	yes	19	12	Bull Canyon
BC 09a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	20.1	58.2		4.4	10/10					Bull Canyon	yes	19	12	Bull Canyon
BC 10b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	267.1	8.2		17.9	7/13					Bull Canyon		99	2	Bull Canyon
BC 10b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	269	10.5		17.9	7/13					Bull Canyon		99	2	Bull Canyon
UMG-GA-01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	289.5	21.2		15.9	7/8					Home Montain Canyon		112	82	Home Montain Canyon
UMG-GA-01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	271	0		15.9	7/8					Home Montain Canyon		112	82	Home Montain Canyon
UMG-GA-02	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	284.3	34.7		14.1	7/8					Home Montain Canyon		116	52	Home Montain Canyon
UMG-GA-02	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	261	12		14.1	7/8					Home Montain Canyon		116	52	Home Montain Canyon
UMG-GA-03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	287.9	31.7		18.4	5/6					Home Montain Canyon		113	66	Home Montain Canyon
UMG-GA-03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	262	8		18.4	5/6					Home Montain Canyon		113	66	Home Montain Canyon
SP 01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	105.2	22.1		6.5	9/9					Sparks–Talamantes Creek		306	58	Sparks–Talamantes Creek
SP 01	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	96.3	-4.6		6.5	9/9					Sparks–Talamantes Creek		306	58	Sparks–Talamantes Creek
SP 02a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	67.8	59.2		14.3	5/7					Sparks–Talamantes Creek	yes	295	62	Sparks–Talamantes Creek
SP 02a	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	45.4	4.1		14.3	5/7					Sparks–Talamantes Creek	yes	295	62	Sparks–Talamantes Creek
SP 03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	92.1	30.5		11.9	5/6					Sparks–Talamantes Creek		313	70	Sparks–Talamantes Creek
SP 03	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	87.2	-20.9		11.9	5/6					Sparks–Talamantes Creek		313	70	Sparks–Talamantes Creek
SP 04	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	95.9	35.6		9.2	7/7					Sparks–Talamantes Creek		299	61	Sparks–Talamantes Creek
SP 04	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	77.4	0.2		9.2	7/7					Sparks–Talamantes Creek		299	61	Sparks–Talamantes Creek
SP 05	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	88.8	34.6		11.6	8/8					Sparks–Talamantes Creek		315	63	Sparks–Talamantes Creek
SP 05	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	81.3	-15.8		11.6	8/8					Sparks–Talamantes Creek		315	63	Sparks–Talamantes Creek
SP 06	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	99.9	26		8.6	7/7					Sparks–Talamantes Creek		324	66	Sparks–Talamantes Creek
SP 06	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	98.6	-23.1		8.6	7/7					Sparks–Talamantes Creek		324	66	Sparks–Talamantes Creek
SP 07	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	104.2	31.6		14	4/8					Sparks–Talamantes Creek		299	61	Sparks–Talamantes Creek
SP 07	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	84.6	3.7		14	4/8					Sparks–Talamantes Creek		299	61	Sparks–Talamantes Creek
SP 08	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	95.7	20		9.2	7/8					Sparks–Talamantes Creek		312	65	Sparks–Talamantes Creek
SP 08	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	96.3	-21.1		9.2	7/8					Sparks–Talamantes Creek		312	65	Sparks–Talamantes Creek
SP 09b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	94.9	28.4		28.42	3/7					Sparks–Talamantes Creek		314	71	Sparks–Talamantes Creek
SP 09b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	91.3	-21.7		28.42	3/7					Sparks–Talamantes Creek		314	71	Sparks–Talamantes Creek
SP 10	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	103.1	36.3		10.2	6/8					Sparks–Talamantes Creek		313	56	Sparks–Talamantes Creek
SP 10	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	87.3	-0.1		10.2	6/8					Sparks–Talamantes Creek		313	56	Sparks–Talamantes Creek
SP 11b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	101.7	21.3		15.1	6/8					Sparks–Talamantes Creek		301	59	Sparks–Talamantes Creek
SP 11b	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	92.9	-4.4		15.1	6/8					Sparks–Talamantes Creek		301	59	Sparks–Talamantes Creek
SP 12	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	0	95.6	35.9		7	8/8					Sparks–Talamantes Creek		313	59	Sparks–Talamantes Creek
SP 12	Uinta Mountain Group	i	g	DE-FM	Weil2006	Sedimentary	Formation	Sandstone:Siltstone			750		717	771	Ma	100	83.4	-6.9		7	8/8					Sparks–Talamantes Creek		313	59	Sparks–Talamantes Creek
