tab	sites
site	location	result_type	result_quality	method_codes	citations	geologic_classes	geologic_types	lithologies	lat	lon	age	age_sigma	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_n_samples	dir_polarity	description	vgp_lon	vgp_lat	vgp_dp	vgp_dm
A8-30	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.214	280.023	1140.6	1.0	Ma	0	277.5	51.4	9.5	95.0	4	n	Dyke A8: age from Krogh et al. 1987	207.9	28.0	8.8	12.9
A8-31	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.616	281.779	1140.6	1.0	Ma	0	261.5	66.1	9.8	88.0	4	n	Dyke A8: age from Krogh et al. 1987	232.7	29.8	13.1	16.0
A8-32	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.676	281.874	1140.6	1.0	Ma	0	258.5	46.0	19.1	24.0	4	n	Dyke A8: age from Krogh et al. 1987	218.5	13.2	15.6	24.4
A8-33	southern Superior Province	i	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	49.32	282.82	1140.6	1.0	Ma	0	264.5	63.5	8.9	192.0	3	n	Dyke A8: age from Krogh et al. 1987	228.9	29.5	11.1	14.1
A1	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Monzogabbro	48.0	279.0	1140.6	1.0	Ma	0	99.3	-45.2			1	r	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	21.4	-25.5	4.0	6.3
A3	southern Superior Province	a	g	LP-DIR-T:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	298.3	52.4			2	n	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	194.3	42.1	4.7	6.9
A4	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	126.4	-71.5			2	r	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	43.8	-57.0	7.7	8.8
A5	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	310.5	59.1	10.9	72.0	4	n	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	194.7	54.1	12.2	16.3
A6_1	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	283.1	57.2	6.2	153.0	5	n	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	208.8	35.1	6.6	9.0
A6_2	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	302.7	70.9	4.4	189.0	7	n	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	222.9	54.8	6.7	7.7
A7	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	146.2	-80.7			2	r	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	77.7	-61.6	9.3	9.6
A8	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM	10.1139/e93-167	Igneous	Volcanic Dike	Olivine Gabbro	48.0	279.0	1140.6	1.0	Ma	0	264.9	60.1	9.4	68.0	5	n	age from Krogh et al. 1987:mean declination and inclination calculated for common reference locality of 48.0N 81.0W	222.0	26.3	10.8	14.2
SL13	southern Superior Province	a	g	LP-DIR-AF:DE-BFL:DE-FM:DE-VGP	Halls et al. 2005 (OGS OFR 6171)	Igneous	Volcanic Dike	Diabase	48.35	275.33	1140.6	1.0	Ma	0	315.9	62.7	5.1	61.0	1	n	Dyke SL13: new normal-polarity Abitibi dyke (Halls et al. 2005; Piispa et al. 2018 Table 3). With A1 reassigned to the ca. 2167 Ma Biscotasing swarm, this completes the eight-dyke modified group mean.	194.1	59.6	6.3	8.0
