tab 	sites																		
citations	dir_dec	dir_inc	dir_n_samples	dir_polarity	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_type	site	height	site_alternatives	vgp_lat	vgp_lon
This study	285.6	51.5	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26653643	Basalt	Keweenaw Peninsula:Michigan	-88.41026123	LT-AF-Z	a	PL56	2105.784133		33.05163463	194.9653767
This study	283.6	39.6	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26393191	Basalt	Keweenaw Peninsula:Michigan	-88.40160098	LT-AF-Z	a	PL57	1618.15309		25.35322771	187.9384697
This study	290.9	30.2	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26390449	Basalt	Keweenaw Peninsula:Michigan	-88.40160098	LT-AF-Z	a	PL58	1584.210262		25.95566938	177.6466365
This study	290.3	32.5	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26434315	Basalt	Keweenaw Peninsula:Michigan	-88.39998978	LT-AF-Z	a	PL59	1525.633888	Scales Creek Flow	26.56775516	179.2397059
This study	274.7	45.2	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.29154448	Basalt	Keweenaw Peninsula:Michigan	-88.40974689	LT-AF-Z	a	PL6	3202.706692		22.33963824	197.351944
This study	288.5	40	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26393191	Basalt	Keweenaw Peninsula:Michigan	-88.39958698	LT-AF-Z	a	PL60	1478.732255		28.86323417	184.718492
This study	294.2	31.7	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.26201279	Basalt	Keweenaw Peninsula:Michigan	-88.39535756	LT-AF-Z	a	PL61	1186.488334		28.8499436	175.8759117
This study	294.6	45.2	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28976244	Basalt	Keweenaw Peninsula:Michigan	-88.41256728	LT-AF-Z	a	PL7	3237.347466		35.63666209	183.8322171
This study	297.1	45.5	5	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28893997	Basalt	Keweenaw Peninsula:Michigan	-88.41639494	LT-AF-Z	a	PL8	3329.946873		37.48892251	182.2526397
This study	297.6	40.8	4	n	100	Portage Lake Volcanics	Extrusive	Lava Flow	47.28935121	Basalt	Keweenaw Peninsula:Michigan	-88.41639494	LT-AF-Z	a	PL9	3343.87108		35.42895354	178.5039283
